SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-10563,1,202503,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/06/2025,Manning Avenue near Dunleer Drive,90064
30270-10488,1,202503,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/27/2025,La Cienega Boulevard at W 83rd Street,90301
30270-10487,1,202503,SAN_FRANCISCO,V2V Head-on,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/27/2025,Eugenia Avenue near Bonview Street,94110
30270-10455,1,202503,LOS_ANGELES,V2V Lateral,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,03/25/2025,Huntley Drive near Miramar Street,90026
30270-10454,1,202503,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/24/2025,Pine Street at Gough Street,94109
30270-10453,1,202503,SAN_FRANCISCO,V2V Head-on,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,03/25/2025,600 block of Ulloa Street,94127
30270-10452,1,202503,LOS_ANGELES,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/23/2025,Yucca Street near N Hudson Avenue,90028
30270-10451,1,202503,SAN_FRANCISCO,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,03/28/2025,Fillmore Street near Page Street,94117
30270-10450,1,202503,AUSTIN,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/29/2025,Rio Grande Street near W. 6th Street,78701
30270-10449,1,202503,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/27/2025,Oak Grove Street near Harrison Street,94107
30270-10448,1,202503,AUSTIN,V2V Head-on,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/24/2025,E 2nd Street at Brazos Street,78701
30270-10447,1,202503,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,03/24/2025,Anza Street near 23rd Avenue,94121
30270-10446,1,202503,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/24/2025,Ellis Street near Farren Street,94115
30270-10444,1,202503,SAN_FRANCISCO,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/06/2025,17th Street at Hoff Street,94110
30270-10443,1,202503,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3/5/2025,Laguna Honda Boulevard near Clarendon Avenue,94131
30270-10442,1,202503,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/04/2025,California Street at Divisadero Street,94115
30270-10439,1,202503,LOS_ANGELES,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,03/03/2025,Speedway near Breeze Avenue,90291
30270-10438,1,202503,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/03/2025,Wilshire Boulevard at Bundy Drive,90025
30270-10435,1,202503,PHOENIX,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,03/01/2025,N 9th Street near E Willetta Street,85006
30270-10428,1,202503,LOS_ANGELES,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/27/2025,Ogden Drive near Oakwood Avenue,90036
30270-10427,1,202503,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/30/2025,N. 16th Street at E. Indian School Road,85016
30270-10426,1,202503,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/30/2025,N. Robertson Boulevard near Santa Monica Boulevard,90069
30270-10425,1,202503,SAN_FRANCISCO,V2V Lateral,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,03/29/2025,Bryant Street near Alameda Street,94103
30270-10421,1,202503,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3/29/2025,W. 28th Street near University Avenue,90007
30270-10420,1,202503,LOS_ANGELES,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/14/2025,Palms Boulevard at S. Centinela Avenue,90066
30270-10381,1,202503,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,03/30/2025,N. 7th Avenue at Thomas Road,85013
30270-10380,1,202503,LOS_ANGELES,Secondary Crash,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,03/29/2025,Washington Boulevard near La Brea Avenue,90019
30270-10367,1,202503,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3/27/2025,1st Street at Folsom Street,94108
30270-10364,2,202503,LOS_ANGELES,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/29/2025,Naylor Avenue near W 78th Street,90045
30270-10363,1,202503,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/13/2025,parking lot on Division Street near Rhode Island Street,94103
30270-10362,1,202503,SAN_FRANCISCO,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,03/13/2025,Yosemite Avenue near Jennings Street,94124
30270-10361,1,202503,AUSTIN,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/14/2025,Rosewood Avenue near Northwestern Avenue,78702
30270-10360,1,202503,LOS_ANGELES,Secondary Crash,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/12/2025,Venice Boulevard at La Brea Avenue,90019
30270-10359,1,202503,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/11/2025,16th Street near Market Street,94114
30270-10349,2,202503,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/27/2025,Division Street at Vernon Street,94103
30270-10347,1,202503,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/11/2025,Laguna Street near Hickory Street,94102
