Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10323,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,31c9cef6355228c,44675, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,22:21, ,6f8e41395fab5e8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,"No, see Narrative",18, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 10:21 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a domestic animal on [XXX] near [XXX]. 
The Waymo AV was traveling eastbound on [XXX] in the rightmost lane with cars parked along the right-hand side curb, when a domestic animal entered the roadway from a gap between the parked vehicles on the right side of the roadway and crossed the path of the Waymo AV. The front of the Waymo AV made contact with the domestic animal. A passenger seated in the Waymo AV was not belted at the time of the collision. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The domestic animal sustained injuries.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9822,1,Waymo LLC,Monthly,1,2025,FEB-2025,SADHW2S12R1, ,N/A,Jaguar,I-PACE, ,2024, ,da3d17f048c33a1,7055, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,16:53, ,65c2a7bec0738d5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40, ,Daylight,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,21, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 4:53 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a domestic animal on [XXX].
The Waymo AV was traveling southbound on [XXX]in the center of three southbound lanes, passing a queue of stopped traffic in the leftmost lane, when a domestic animal emerged from a gap between vehicles in the leftmost lane and crossed the path of the Waymo AV.  The front of the Waymo AV came in contact with the animal, which did not survive. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9569,1,Waymo LLC,Monthly,12,2024,JAN-2025,SADHW2S10R1, ,N/A,JLR,I-PACE, ,2024, ,da0d43d8dd863dc,35795, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,21:50, ,0d8a47563f9f20d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,30, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 9:50 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a domestic animal on [XXX] at [XXX]. 
The Waymo AV was traveling eastbound on [XXX] in the right lane, and made contact with a dog lying motionless in the lane of travel. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9406,1,Waymo LLC,Monthly,11,2024,DEC-2024,SADHW2S10R1, ,N/A,Jaguar,I-Pace, ,2024, ,a57764cde730315,4357, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, ,Y, , , , , , ,,NOV-2024, ,NOV-2024,21:17, ,dbc8e046f3d8ada,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Inglewood, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,14, , , , , , , , , , ,Y, , , ,Y,Y,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On November [XXX], 2024 at 9:17 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Inglewood, California was in a collision involving a domestic animal on [XXX] at [XXX].
The Waymo AV was traveling east on [XXX] when a rabbit entered the roadway from between parked cars on the north side of [XXX].  The front of the Waymo AV came in contact with the animal, which did not survive.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9177,1,Waymo LLC,Monthly,10,2024,NOV-2024,SADHW2S19M1, ,N/A,Jaguar,I-Pace, ,2021, ,ada18c60b810838,116185, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,OCT-2024, ,OCT-2024,10:12, ,240a151c45d4bda,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,31, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,Yes,University of San Francisco Police, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On October [XXX], 2024 at 10:12 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a domestic animal on [XXX] at [XXX].
The Waymo AV was traveling eastbound on [XXX]. As it approached the intersection with [XXX], it made contact with a small dog that had apparently been previously struck by a preceding vehicle and was laying in the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
988-9119,1,PACCAR Incorporated,Monthly,11,2024,NOV-2024,1XPBD49X1PD, ,N/A,Peterbilt,579, ,2023, ,9c79dca9f5bfa7e,85783, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc", , ,Y, ,Y,Y, , ,,OCT-2024, ,OCT-2024,3:29, ,76e5d31295af2c3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Streetman, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,74, , , ,Y, , , , , , , , ,Y, ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:29 AM CDT on October [XXX], an Aurora truck was traveling Northbound on highway [XXX] near Fairfield, TX, when it struck a deer. No injuries were reported. As per the company's protocols, the vehicle operators elected to disengage autonomy just before the strike, pulled over to inspect the truck, observed and reported minor damage, and drove to the Aurora terminal.",
30530-9093,1,"Aurora Operations, Inc.",Monthly,11,2024,NOV-2024,1XPBD49X1PD, ,N/A,Peterbilt,579, ,2023, ,9c79dca9f5bfa7e,85783, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,OCT-2024, ,OCT-2024,03:29, ,76e5d31295af2c3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Streetman, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,74, , , ,Y, , , , , , , , ,Y, ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:29 AM CDT on October [XXX], an Aurora truck was traveling Northbound on highway [XXX] near Fairfield, TX, when it struck a deer. No injuries were reported. As per the company's protocols, the vehicle operators elected to disengage autonomy just before the strike, pulled over to inspect the truck, observed and reported minor damage, and drove to the Aurora terminal.",
30270-8632,2,Waymo LLC,Update,,,SEP-2024,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,1792591cf154260,23613, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,AUG-2024, ,AUG-2024,22:36, ,8b14fdebdb542b9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted, , ,Y, , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,12, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"Other than an update to the ""Crash with"" field to reflect that this collision was with an animal, the content of this report is unchanged from the initial report submitted on September 16, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On August [XXX], 2024 at 10:36 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco was in a collision involving a dog on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] in a location where parallel parked cars were present on both sides of the street. A small dog ran into the street from between two parked cars on the west side of [XXX]. The Waymo AV engaged heavy braking but the front driver side tire made contact with the dog as it was coming to a complete stop. The dog then ran back onto the western sidewalk of [XXX]. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Waymo received notice of injury to the dog.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-0. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-8120,1,Waymo LLC,Monthly,6,2024,JUL-2024,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,3da2202cd33026f,122972, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT                                                						,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JUN-2024, ,JUN-2024,04:37, ,f76f598e5f5f3af,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40, ,Dark - Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,35, ,Y, , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On June [XXX], 2024 at 4:37 AM MT a Waymo Autonomous Vehicle (Waymo AV) operating in [XXX], Arizona was in a collision involving an animal on [XXX] near [XXX].
The Waymo AV was traveling east on [XXX] when an animal that appeared to be a cat ran into the roadway from the left side of the road in front of the Waymo AV. The rear drivers side of the Waymo AV then made contact with the animal. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Although the Waymo AV was towed, that happened for a reason unrelated to the crash so it was not covered by Request 1. D, which applies where ""the crash results in a vehicle tow-away."" Waymo may supplement or correct its reporting with additional information as it may become available.",
30531-7966,1,Transdev Alternative Services,Monthly,5,2024,JUN-2024,SADHW2S15R1, ,N/A,Jaguar,I-Pace, ,2024, ,c29b4c11225a765,277, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2024, ,MAY-2024,23:16, ,b223e677151596a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Dark - Not Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,61, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2024 at 11:16 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a wild animal (raccoon) on [XXX] between [XXX] and [XXX].
The Waymo AV was traveling eastbound on [XXX] in autonomous mode when a raccoon ran into the roadway from the left side of the highway in front of the Waymo AV.  The Waymo AV test driver transitioned to manual mode shortly before the front driver's side of the Waymo AV made contact with the raccoon.  At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode.  The Waymo AV sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting at a later time.  This is a duplicate of report ID 30270-7954-1.",
