Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10776,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-PACE, ,2024, ,4397efdcc60adba,7255, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,22:38, ,dd7979d22b5c160,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, ,Y,Y, , , , , , , , ,Proceeding Straight,No,Yes,Yes,3, ,Y,Y,Y, , , , , , , , , , ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On May [XXX], 2025 at 10:38 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on [XXX]. The heavy truck traveling eastbound on [XXX] began maneuvering left into the path of the Waymo AV and the Waymo AV came to a stop. The truck continued and the front driver side of the heavy truck made contact with the front driver side of the Waymo AV. The heavy truck then reversed and proceeded eastbound. As the heavy truck passed the stationary Waymo AV, it made contact with the driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10613,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S17M1, ,N/A,Jaguar,I-PACE, ,2021, ,e99629229709aa3,142922, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,07:44, ,de693def5440138,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, ,Y, , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y,Y,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 7:44 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was stopped facing southeast on [XXX], yielding to a heavy truck traveling northwest in a narrow roadway with parked vehicles on both sides of the street. As the heavy truck passed the stopped Waymo AV, the driver side of the heavy truck cab made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10689,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S11R1, ,N/A,Jaguar,I-PACE, ,2024, ,c05baf37966067f,9364, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:40, ,c1c73648661eb2b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Monica, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,15, ,Daylight, , ,Y, , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 2:40 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was parked in-lane facing northwest on a narrow portion of [XXX], with hazard lights activated, when a heavy truck traveling southeastbound on [XXX] passed the Waymo AV on the right. As the heavy truck passed by the stationary Waymo AV, the passenger side of the heavy truck trailer made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10673,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,d38a9c8870c899e,16256, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,09:59, ,ec072be87c1b410,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,Yes,Yes,0, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 9:59 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a box truck and trailer on [XXX] at [XXX]. 
The Waymo AV was traveling southeastbound on [XXX] in the leftmost lane when it stopped at the intersection of [XXX] to yield to a box truck hauling a trailer within the intersection. The heavy truck was facing southwest, apparently attempting a multi-point turn. The truck stopped and the Waymo AV began to pass the truck on the left. The truck began reversing as the Waymo AV was passing and the Waymo AV came to a stop to yield to the truck. While the Waymo AV remained stopped, the truck continued to reverse, and the rear passenger side of the trailer made contact with the front passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10664,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S12R1, ,N/A,Jaguar,I-PACE, ,2024, ,d95a931fbcfbce4,7967, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,07:06, ,4468efe647fd81a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, ,Y, , , , , , , , , ,Proceeding Straight,No,Yes,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 7:06 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling northwestbound on a narrow portion of [XXX] and came to a stop yielding to a garbage truck traveling southeastbound on [XXX]. As the Waymo AV remained stopped, the garbage truck passed by the Waymo AV and the driver side of the garbage truck made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10663,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S12R1, ,N/A,Jaguar,I-PACE, ,2024, ,e0846443b7c6da5,40048, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,07:44, ,dcdc0f9cfeb8580,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,Work Zone,25, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,Yes,No Passengers in Vehicle,0, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 7:44 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] at [XXX]. 
The Waymo AV was traveling eastbound on [XXX] when it encountered a heavy truck, which was carrying a telephone pole, stopped facing west on [XXX] on the eastbound side of the roadway. The Waymo AV began to pass the heavy truck and came to a stop alongside the trailer. While the Waymo AV remained stopped, the heavy truck proceeded westbound to the right of the Waymo AV and the passenger side of the utility pole trailer of the heavy truck made contact with the front passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10592,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S11R1, ,N/A,Jaguar,I-PACE, ,2024, ,c19f62a289b1bf6,1168, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,18:34, ,9341d4360bf129b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,Yes,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 6:34 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was stopped at the curb for a passenger drop-off facing north on [XXX]. A heavy truck traveling northbound on [XXX] in the lane to the left of the Waymo AV began to pass the parked Waymo AV. A passenger in the Waymo AV then opened the rear driver side door, and the passenger side of the heavy truck made contact with the open rear driver side door of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passengers in the Waymo AV were not belted at the time of the collision, as they were preparing to exit the Waymo AV. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10556,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S18M1, ,N/A,Jaguar,I-Pace, ,2021, ,3fa13431ff0349d,227255, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,13:36, ,3e20827af0b4001,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,"Other, see Narrative",15, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Backing,No,No, , , , , , , ,Y, , , ,Stopped,No,Yes,No Passengers in Vehicle,0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 1:36 PM MST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a heavy truck in a parking lot near [XXX]. 
The Waymo AV was traveling through a parking lot near [XXX] when it made a right turn between two heavy trucks partially blocking the roadway. The heavy truck to the left of the Waymo AV then began to reverse and the Waymo AV slowed to a stop to yield to the heavy truck. While the Waymo AV remained stopped, the heavy truck continued to reverse and the passenger side of the heavy trucks trailer then made contact with the front driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10448,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S14R1, ,N/A,Jaguar,I-PACE, ,2024, ,58de7f4311cc07b,21101, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,17:40, ,d8217fb75609518,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No,Y, , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 5:40 PM CDT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a swing-out tailgate of a trailer being towed by a heavy-duty pickup truck on [XXX] at [XXX]. 
The Waymo AV was traveling east on [XXX] when a heavy-duty pickup truck towing a dump trailer  traveling west on [XXX] approached the Waymo AV. The dump trailer was equipped with a swing-out tailgate that was open and had begun protruding across the center line and into the lane occupied by the Waymo AV. The Waymo AV came to a stop as the vehicle approached and the swung-out tailgate made contact with the front driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10326,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,4397efdcc60adba,1225, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,08:36, ,f4c74c5f46b77e2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 8:36 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was stopped facing west on [XXX], yielding to a stopped garbage truck facing east in a narrow roadway with parked vehicles on both sides of the street. As the garbage truck proceeded to move forward and pass the stopped Waymo AV, the driver side of the garbage truck made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
