Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10768,1,Waymo LLC,1-Day,,,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,9ff684673df8aff,11932, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,20:00, ,3bed82ec870ce9c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dawn / Dusk,Y, , , , , , , ,,Non-Motorist: Cyclist,Minor,No,NM Crossing Roadway,,, , , , , , , , , , , ,Making Left Turn,No,No,No Passengers in Vehicle,3, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 8:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a cyclist on [XXX] at [XXX]. 
The Waymo AV came to a stop facing westbound on [XXX] at a stop sign at the intersection at [XXX] in a location where vegetation to the left of the AV created occlusion of the approaching near-side sidewalk. After coming to a stop at the stop line, the Waymo AV began moving forward into the intersection at [XXX] when a cyclist that had been traveling northwest on the near-side sidewalk along [XXX] entered the crosswalk and the front tire of the bike made contact with the front driver side of the Waymo AV. The cyclist fell to the ground.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The cyclist later informed Waymo of a minor injury.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30610-10399,2,"Zoox, Inc.",10-Day Update,,,APR-2025,7Z00XVHXXRK, ,N/A,Zoox,sedan, ,2024, ,f69c1d9a952c50a,22539, ,None,B329.25.04.04, , ,B329.25.04.04, , ,B329.25.04.04, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,APR-2025, ,APR-2025,09:33, ,ed38cb58ec4a1f5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Making Left Turn,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,No Passengers in Vehicle,9, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"An unoccupied Zoox vehicle in autonomy was stopped at a red light in the right travel lane on southbound [XXX] at the intersection with [XXX] and [XXX] in San Francisco. At that time, a cyclist on an eBike came to a stop in the bike lane to the right of the Zoox vehicle. The cyclist began to proceed before the light turned green and headed straight. After the light turned green, the Zoox vehicle proceeded straight towards [XXX]. While nearly through the intersection, the cyclist abruptly veered left into the path of the Zoox vehicle and accelerated toward the front of the Zoox vehicle in violation of a red crosswalk signal and in violation of the Zoox vehicle's right-of-way. The Zoox vehicle appropriately braked hard in response to the cyclist's maneuver, but contact was unavoidable. The eBike laterally impacted the Zoox vehicle's right front fender and body side, then the cyclist impacted the right front body of the Zoox vehicle. The Zoox vehicle then came to a full stop. The cyclist then rode over to the sidewalk and remained briefly stopped on the sidewalk before getting back on the eBike and riding away. The Zoox vehicle cleared the intersection, then pulled over on [XXX], and shortly after was towed from the scene for inspection. The Zoox vehicle sustained minor damage to the right front body. The police were not called. No injuries were reported nor apparent with the cyclist.
The content of this report is unchanged from the initial report and provides complete information to date for this incident.",
30610-10399,1,"Zoox, Inc.",1-Day,,,APR-2025,7Z00XVHXXRK, ,N/A,Zoox,sedan, ,2024, ,f69c1d9a952c50a,22539, ,None,B329.25.04.04, , ,B329.25.04.04, , ,B329.25.04.04, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,APR-2025, ,APR-2025,09:33, ,ed38cb58ec4a1f5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Making Left Turn,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,No Passengers in Vehicle,9, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"An unoccupied Zoox vehicle in autonomy was stopped at a red light in the right travel lane on southbound [XXX] at the intersection with [XXX] and [XXX] in San Francisco. At that time, a cyclist on an eBike came to a stop in the bike lane to the right of the Zoox vehicle. The cyclist began to proceed before the light turned green and headed straight. After the light turned green, the Zoox vehicle proceeded straight towards [XXX]. While nearly through the intersection, the cyclist abruptly veered left into the path of the Zoox vehicle and accelerated toward the front of the Zoox vehicle in violation of a red crosswalk signal and in violation of the Zoox vehicle's right-of-way. The Zoox vehicle appropriately braked hard in response to the cyclist's maneuver, but contact was unavoidable. The eBike laterally impacted the Zoox vehicle's right front fender and body side, then the cyclist impacted the right front body of the Zoox vehicle. The Zoox vehicle then came to a full stop. The cyclist then rode over to the sidewalk and remained briefly stopped on the sidewalk before getting back on the eBike and riding away. The Zoox vehicle cleared the intersection, then pulled over on [XXX], and shortly after was towed from the scene for inspection. The Zoox vehicle sustained minor damage to the right front body. The police were not called. No injuries were reported nor apparent with the cyclist.",
30270-10075,2,Waymo LLC,10-Day Update,,,MAR-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,da1c07fbe9f0399,3577, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,09:06, ,7021e4061ead5bc,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Passing,,, , , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on February [XXX], 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On February [XXX], 2025 at 9:06 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist near the [XXX]. 
The Waymo AV was stopped at the curb facing north on [XXX] after a passenger drop-off when a cyclist traveling north passed between the Waymo AV and a passenger car that was stopped next to the driver side of the Waymo AV.  As the cyclist passed the stationary Waymo AV, the cyclist made contact with the driver side mirror of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Waymo identified damage to the Waymo AV on February [XXX], 2025 and identified that the damage resulted from contact with a vulnerable road user on February [XXX], 2025.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10075,1,Waymo LLC,1-Day,,,FEB-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,da1c07fbe9f0399,3577, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,09:06, ,7021e4061ead5bc,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Passing,,, , , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 9:06 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist near the [XXX]. 
The Waymo AV was stopped at the curb facing north on [XXX] after a passenger drop-off when a cyclist traveling north passed between the Waymo AV and a passenger car that was stopped next to the driver side of the Waymo AV.  As the cyclist passed the stationary Waymo AV, the cyclist made contact with the driver side mirror of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Waymo identified damage to the Waymo AV on February [XXX], 2025 and identified that the damage resulted from contact with a vulnerable road user on February [XXX], 2025.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9987,2,Waymo LLC,10-Day Update,,,FEB-2025,SADHW2S18M1, ,N/A,Jaguar,I-PACE, ,2021, ,9b58c96904cb338,162334, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,12:10, ,45b81f06862d85c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,Moderate,Yes,Proceeding Straight,,, , , , , , , , , , , ,Parked,No,No,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y, , , ,Yes,SFPD, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"Other than an update to the highest injury severity alleged from ""minor"" to ""moderate"" and an update to reflect that property damage did result from the collision, the content of this report is unchanged from the initial report submitted on February [XXX], 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On February [XXX], 2025 at 12:10 PM PT two Waymo Autonomous Vehicles (""Waymo AVs"") operating in San Francisco, CA were involved in a collision involving a cyclist on [XXX].
The first Waymo AV was parked at the northwest-bound curb on [XXX]for passenger dropoff. A second Waymo AV (2024 Jaguar I-PACE SADHW2S17R1[XXX], 38,609 miles) was also parked for a separate passenger dropoff, located adjacent to the first Waymo AV with the bicycle lane of northwest-bound [XXX] between the two Waymo AVs. A bicyclist was traveling northwest-bound on [XXX] and approaching the two Waymo AVs from the rear. As the cyclist was passing between the two Waymo AVs, the rear driver side passenger of the first Waymo AV opened the door of the first Waymo AV into the cyclist. The cyclist then fell into the passenger side of the second Waymo AV. At the time of the impact, both Waymo AVs' Level 4 ADS were engaged in autonomous mode. Neither Waymo AV sustained damage. The cyclist was able to move out of the roadway independently and was then transported from the scene in an ambulance. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9987,1,Waymo LLC,1-Day,,,FEB-2025,SADHW2S18M1, ,N/A,Jaguar,I-PACE, ,2021, ,9b58c96904cb338,162334, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,12:10, ,45b81f06862d85c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,Minor,Unknown,Proceeding Straight,,, , , , , , , , , , , ,Parked,No,No,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y, , , ,Yes,SFPD, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On February [XXX], 2025 at 12:10 PM PT two Waymo Autonomous Vehicles (Waymo AVs) operating in San Francisco, CA were involved in a collision involving a cyclist on [XXX].
The first Waymo AV was parked at the northwest-bound curb on [XXX] for passenger dropoff. A second Waymo AV (2024 Jaguar I-PACE SADHW2S17R1[XXX], 38,609 miles) was also parked for a separate passenger dropoff, located adjacent to the first Waymo AV with the bicycle lane of northwest-bound [XXX] between the two Waymo AVs. A bicyclist was traveling northwest-bound on [XXX] and approaching the two Waymo AVs from the rear. As the cyclist was passing between the two Waymo AVs, the rear driver side passenger of the first Waymo AV opened the door of the first Waymo AV into the cyclist. The cyclist then fell into the passenger side of the second Waymo AV. At the time of the impact, both Waymo AVs' Level 4 ADS were engaged in autonomous mode. Neither Waymo AV sustained damage. The cyclist was able to move out of the roadway independently and was then transported from the scene in an ambulance. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9654,2,Waymo LLC,10-Day Update,,,JAN-2025,SADHW2S13M1, ,N/A,Jaguar,I-Pace, ,2021, ,e9264da131c0540,97413, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,15:32, ,be9a4261e1e8663,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,20, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Traveling Wrong Way,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on January 14, 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On January [XXX], 2025 at 3:32 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on [XXX] at [XXX].
The Waymo AV was traveling northbound on [XXX] in the rightmost lane, and came to a stop for a red light at the intersection with [XXX]. While the Waymo AV remained stopped at the intersection, a cyclist traveling southbound against traffic proceeded through the intersection, passing the Waymo AV on the left, and the cyclist made contact with the driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9654,1,Waymo LLC,1-Day,,,JAN-2025,SADHW2S13M1, ,N/A,Jaguar,I-Pace, ,2021, ,e9264da131c0540,97413, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,15:32, ,be9a4261e1e8663,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,20, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Traveling Wrong Way,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 3:32 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on [XXX] at [XXX].
The Waymo AV was traveling northbound on [XXX] in the rightmost lane, and came to a stop for a red light at the intersection with [XXX]. While the Waymo AV remained stopped at the intersection, a cyclist traveling southbound against traffic proceeded through the intersection, passing the Waymo AV on the left, and the cyclist made contact with the driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9295,2,Waymo LLC,10-Day Update,,,DEC-2024,SADHW2S13R1, ,N/A,Jaguar,I-Pace, ,2024, ,285acda21cb9800,10219, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,15:13, ,a4770372ceb27d6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Proceeding Straight,,, , , , , , , , , , , ,Stopped,No,No,"No, see Narrative",0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"Other than an update to the seat belt state of the passenger, described in further detail below, and confirmation of property damage, the content of this report is unchanged from the initial report submitted on December 7, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On December [XXX], 2024 at 3:13 PM PT, a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was involved in a collision with a bicyclist on [XXX] at [XXX].
The Waymo AV was traveling southeast on [XXX], signalling to pull over to the right and park alongside the curb, ahead of other parked vehicles, to perform a dropoff pullover. The Waymo AV yielded to a bicyclist approaching from behind and to the right, who subsequently made contact with the rear of the Waymo AV. The contact with the Waymo AV caused a scratch to the rear trunk panel of the Waymo AV. The bicyclist subsequently passed the Waymo AV on the right and left the scene. The passenger within the Waymo AV was not belted at the time of the collision, having buckled it behind them.
At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
