Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10054,2,Waymo LLC,10-Day Update,,,MAR-2025,SADHW2S19R1, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Jaguar,I-PACE, ,2024, ,62060b6190797d9,18469, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,08:12, ,245fcf475614f10,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on February [XXX], 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On February [XXX], 2025 at 8:12 AM PT a Waymo Autonomous Vehicle operating in Culver City, California was in a collision involving a shopping cart.  
The Waymo AV was stopped at a red traffic light heading [XXX]. A pedestrian pushing a shopping cart approached the Waymo AV from behind and made contact with the left rear drivers side of the stationary Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.  The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10054,1,Waymo LLC,1-Day,,,FEB-2025,SADHW2S19R1, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Jaguar,I-PACE, ,2024, ,62060b6190797d9,18469, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,08:12, ,245fcf475614f10,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 8:12 AM PT a Waymo Autonomous Vehicle operating in [XXX], California was in a collision involving a shopping cart. 
The Waymo AV was stopped at a red traffic light heading North East on [XXX]. A pedestrian pushing a shopping cart approached the Waymo AV from behind and made contact with the left rear drivers side of the stationary Waymo AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9459,2,Waymo LLC,10-Day Update,,,DEC-2024,SADHW2S11R1, ,N/A,Jaguar,I-Pace, ,2024, ,58d901559d96b10,19680, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC   ",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,10:28, ,62f5ffb1da321a9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Other,Minor,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,12, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"The content of this report is unchanged from the initial report submitted on December 19, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On December [XXX], 2024 at 10:28 AM PT, a Waymo Autonomous Vehicle (Waymo AV) operating in San Francisco, California was in a collision involving a Non-Motorist (scooterist) on [XXX] at [XXX].
The Waymo AV was traveling west on [XXX] when it approached the intersection with [XXX]. A building was located at the intersection, just to the right of the Waymo AV. While the traffic light was green and as the Waymo AV approached the intersection with [XXX], a scooterist who was traveling south on the sidewalk of [XXX] and was previously occluded by the building became visible and entered the intersection against a red light. As the Waymo AV braked for the scooterist, the scooterist made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the scooterist reported a minor injury. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9459,1,Waymo LLC,1-Day,,,DEC-2024,SADHW2S11R1, ,N/A,Jaguar,I-Pace, ,2024, ,58d901559d96b10,19680, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC   ",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,10:28, ,62f5ffb1da321a9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Non-Motorist: Other,Minor,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,12, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On December [XXX], 2024 at 10:28 AM PT, a Waymo Autonomous Vehicle (Waymo AV) operating in San Francisco, California was in a collision involving a Non-Motorist (scooterist) on [XXX] at [XXX].
The Waymo AV was traveling west on [XXX] when it approached the intersection with [XXX]. A building was located at the intersection, just to the right of the Waymo AV. While the traffic light was green and as the Waymo AV approached the intersection with [XXX], a scooterist who was traveling south on the sidewalk of [XXX] and was previously occluded by the building became visible and entered the intersection against a red light. As the Waymo AV braked for the scooterist, the scooterist made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the scooterist reported a minor injury. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9312,2,Waymo LLC,10-Day Update,,,DEC-2024,SADHW2S10R1, ,N/A,Jaguar,I-Pace, ,2024, ,9c5038897dc8056,19055, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,17:14, ,902679e9b0927cd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,Yes,Passing,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on December 10, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On December [XXX], 2024 at 5:14 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a scooter on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in a queue of traffic and slowed to a stop at the intersection with [XXX], which had a green light but did not have sufficient space for the Waymo AV to fully traverse and clear the intersection. A scooterist following behind the Waymo AV began to pass the Waymo AV on the left, and the front of the scooter made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The scooterist immediately left the scene.  The Waymo AV was discovered to have sustained damage from the contact during a subsequent inspection of the vehicle on December 9, 2024.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9312,1,Waymo LLC,1-Day,,,DEC-2024,SADHW2S10R1, ,N/A,Jaguar,I-Pace, ,2024, ,9c5038897dc8056,19055, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,17:14, ,902679e9b0927cd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,Yes,Passing,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 5:14 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a scooter on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] in a queue of traffic and slowed to a stop at the intersection with [XXX], which had a green light but did not have sufficient space for the Waymo AV to fully traverse and clear the intersection. A scooterist following behind the Waymo AV began to pass the Waymo AV on the left, and the front of the scooter made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The scooterist immediately left the scene.  The Waymo AV was discovered to have sustained damage from the contact during a subsequent inspection of the vehicle on December 9, 2024.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30610-8956,2,"Zoox, Inc.",10-Day Update,,,NOV-2024,5TDDGRFH6HS, ,N/A,Toyota,Highlander, ,2017, ,b1784ffeed4c799,99310, ,In-Vehicle (Commercial / Test),147.24.10.24, , ,147.24.10.24, , ,147.24.10.24, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,OCT-2024, ,OCT-2024,10:00, ,1e1418541038c4a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,Minor,No,Proceeding Straight,,, , , , , , , , , , , ,Making Left Turn,No,No,Yes,1, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A Zoox vehicle in autonomous mode was stopped for a red traffic light on northbound [XXX] while preparing to turn left onto westbound [XXX] in San Francisco. After the light turned green the Zoox vehicle began to move forward and then slowed gradually to yield to a pedestrian with right of way in the crosswalk on [XXX]. Just as the Zoox vehicle slowed to almost a stop (0.2 mph), a skateboarder quickly approached the rear of the Zoox vehicle extending their left arm forward and making contact with the right rear corner of the Zoox vehicle. The Zoox vehicle operator then disengaged from autonomy and brought the vehicle to a stop. The skateboarder initially told the Zoox vehicle operator they were not injured but later mentioned they ""smacked"" their hand and it was ""bruised."" When asked, however, they declined medical attention. The Zoox vehicle did not sustain damage. The police were not called. The Zoox vehicle camera footage shows that the skateboarder was looking at their cell phone and did not appear to have been looking ahead at the roadway before the time of contact.The content of this report is unchanged from the initial report and provides complete information to date for this incident.",
30610-8956,1,"Zoox, Inc.",1-Day,,,OCT-2024,5TDDGRFH6HS, ,N/A,Toyota,Highlander, ,2017, ,b1784ffeed4c799,99310, ,In-Vehicle (Commercial / Test),147.24.10.24, , ,147.24.10.24, , ,147.24.10.24, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,OCT-2024, ,OCT-2024,10:00, ,1e1418541038c4a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,Minor,No,Proceeding Straight,,, , , , , , , , , , , ,Making Left Turn,No,No,Yes,1, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A Zoox vehicle in autonomous mode was stopped for a red traffic light on northbound [XXX] while preparing to turn left onto westbound [XXX] in San Francisco. After the light turned green the Zoox vehicle began to move forward and then slowed gradually to yield to a pedestrian with right of way in the crosswalk on [XXX]. Just as the Zoox vehicle slowed to almost a stop (0.2 mph), a skateboarder quickly approached the rear of the Zoox vehicle extending their left arm forward and making contact with the right rear corner of the Zoox vehicle. The Zoox vehicle operator then disengaged from autonomy and brought the vehicle to a stop. The skateboarder initially told the Zoox vehicle operator they were not injured but later mentioned they ""smacked"" their hand and it was ""bruised."" When asked, however, they declined medical attention. The Zoox vehicle did not sustain damage. The police were not called. The Zoox vehicle camera footage shows that the skateboarder was looking at their cell phone and did not appear to have been looking ahead at the roadway before the time of contact.",
33495-6720,1,Apollo Autonomous Driving USA,1-Day,,,NOV-2023,2C4RC1N77LR, ,N/A,Chrysler,Pacifica, ,2020, ,f9582dac8974093,,Y,In-Vehicle (Commercial / Test),3rd Generation ADS, , ,3rd Generation Hardware, , ,Version 2B, , ,, ,Y,,, ,Y,Yes (specify below),CA,Yes,ADS,Apollo Autonomous Driving USA, , , , , ,Y, , ,,JUN-2023, ,JUN-2023,15:39, ,a497d4cb2c09cee,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,No,Proceeding Straight,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,9, , , , , , , ,Y, , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On June [XXX], 2023 at 3:39 PM PDT, an Apollo Autonomous Vehicle (""Apollo AV"") operating in San Francisco, California, was in a collision involving a scooter on [XXX] near [XXX]. 
The Apollo AV was traveling westbound on [XXX] passing the intersection with [XXX]. The intersection has stop signs clearly installed at all four ways, which require vehicles to make full stop before entering the intersection. The Apollo AV made a full stop, entered and passed approximately 75% of the intersection. A person on scooter coming southbound from [XXX],  approached the intersection. The person on scooter entered the intersection without stopping, then made contact with the passenger rear-side of Apollo AV. Our Apollo AV operator immediately disengaged the AV, pulled over to the closest safe place to park, got out of the car to check the person on scooter, who already left the scene on his scooter without exchanging any information. The Apollo AV had small minor paint scratch, which do not need repair. The police were not called.",
30413-5633,1,May Mobility,5-Day,,,MAY-2023,5TDYRKEC5MS, ,N/A,Toyota,Sienna, ,2021, ,3bc0e9a23a18e40,13761, ,In-Vehicle (Commercial / Test),4, , ,4, , ,4, , ,, ,Y,,, ,Y,Unknown,,Yes,ADS,May Mobility, , , , ,Y, , , ,,MAY-2023, ,MAY-2023,16:40, ,aaac9035f83c66f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Grand Rapids, ,MN ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,30, ,Daylight,Y, , , , , , , ,,Non-Motorist: Other,No Injuries Reported,No,Crossing into Opposing Lane,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Tuesday May [XXX] at 16:40 local time, the May shuttle was driving Northbound from [XXX] to [XXX] in Grand Rapids, MN, in autonomous mode and was followed by 2 people riding on scooters. As the May shuttle made the turn, the VRUs were traveling in the same direction as the May shuttle on opposite sides of the lane. As the May shuttle completed the turn at 10 MPH, the brakes were applied and the vehicle came to a complete stop because one of the riders attempted to cross over in the lane which caused VRU safety buffer to intersect with vehicle path, which led the vehicle to slow to a stop. The scooter rider contacted the rear left rear bumper of the shuttle. Scooters were traveling at an estimated speed of 12 mph and accelerating.",
