Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-9234,2,Waymo LLC,10-Day Update,,,DEC-2024,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,31c9cef6355228c,22729, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC           ",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,04:04, ,245053e3a6a403b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Minor,No,"Other, see Narrative",,, , , , , , , , , , , ,"Other, see Narrative",No,No,Yes,4, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on November 25, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On November [XXX], 2024 Waymo received notice of an allegation that a Waymo Autonomous Vehicle (Waymo AV) operating in Los Angeles, California may have been in a low-speed collision with a non-motorist (pedestrian) on [XXX] near [XXX]. 
On November [XXX], 2024 at 4:04 AM PT a Waymo AV operating in Los Angeles, California was traveling northwest on [XXX] when it began to slow to yield to a pedestrian crossing the street ahead from right to left. After the pedestrian had crossed the path of the Waymo AV, the Waymo AV began to accelerate slightly then immediately began to slow again as the pedestrian turned around and approached the Waymo AV. As the Waymo AV was slowing, the pedestrian may have made contact with the driver side of the Waymo AV. 
At the time of the possible impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The pedestrian later claimed to have a minor injury.  The Waymo AV did not sustain any damage. 
Even though this event may involve intentional contact by the pedestrian and the occurrence of actual contact between the Waymo AV and the pedestrian is not clear, Waymo is reporting this event as a crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user (pedestrian) influenced the driving task of a vehicle involved and reportedly sustained a minor injury as a result of the event. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9234,1,Waymo LLC,1-Day,,,NOV-2024,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,31c9cef6355228c,22729, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC           ",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,04:04, ,245053e3a6a403b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Minor,No,"Other, see Narrative",,, , , , , , , , , , , ,"Other, see Narrative",No,No,Yes,4, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On November [XXX], 2024 Waymo received notice of an allegation that a Waymo Autonomous Vehicle (Waymo AV) operating in Los Angeles, California may have been in a low-speed collision with a non-motorist (pedestrian) on [XXX] near [XXX]. 
On November [XXX], 2024 at 4:04 AM PT a Waymo AV operating in Los Angeles, California was traveling northwest on [XXX] when it began to slow to yield to a pedestrian crossing the street ahead from right to left. After the pedestrian had crossed the path of the Waymo AV, the Waymo AV began to accelerate slightly then immediately began to slow again as the pedestrian turned around and approached the Waymo AV. As the Waymo AV was slowing, the pedestrian may have made contact with the driver side of the Waymo AV. 
At the time of the possible impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The pedestrian later claimed to have a minor injury.  The Waymo AV did not sustain any damage. 
Even though this event may involve intentional contact by the pedestrian and the occurrence of actual contact between the Waymo AV and the pedestrian is not clear, Waymo is reporting this event as a crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user (pedestrian) influenced the driving task of a vehicle involved and reportedly sustained a minor injury as a result of the event. Waymo may supplement or correct its reporting with additional information as it may become available.",
30291-7765,1,Nuro,1-Day,,,MAY-2024,JTDKAMFU8N3, ,N/A,Toyota,Prius, ,2022, ,19dfbab6b1b9153,13160, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, ,Y,,, ,Y,Yes (specify below),California Driver Test Permit,Yes,ADS,"Nuro, Inc.", , , , ,Y,Y, , ,,MAY-2024, ,MAY-2024,15:45, ,48d8ef946e000b8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Palo Alto, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Pedestrian,No Injuries Reported,No,NM Crossing Roadway,,, , , , , , , , , , , ,Backing,No,No,Yes,2, , , , , , , , , , , ,Y, , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"On Wednesday, May [XXX], 2024 at approximately 3:45pm PST, a Nuro Prius operating in manual mode bumped a pedestrian at the intersection of [XXX] and [XXX] in Palo Alto, California.
The Nuro Prius was in autonomous mode when it approached the intersection and came to a stop at the stop bar on [XXX]. It is a two-way stop with the traffic on [XXX] having right of way. The Nuro Prius nudged forward due to an occlusion.
The Nuro operator judged the nudging to be too far and disengaged autonomous mode to reverse in manual. When reversing, the operator bumped a pedestrian crossing the street behind the Nuro Prius. The pedestrian was not injured and after speaking with the operator, left the scene. There was no damage to the vehicle and law enforcement was not involved.",
540-6400,4,"General Motors, LLC",Update,,,DEC-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,14, , , , , , , , , , ,Y, ,Y,Y,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"On December 15, 2023, GM Cruise Holdings LLC (""Cruise"") filed an update Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-6395-4).",
30412-6395,4,Cruise LLC,Update,,,DEC-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"General Motors, LLC", , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,14, , , , , , , , , , ,Y, ,Y,Y,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Cruise is submitting this updated report to indicate in the Post-Crash Information section that it has received a California Highway Patrol Traffic Collision Report in connection with the reported incident.  There are no other changes to Cruise's previous submission (30412-6395-3): A Cruise autonomous vehicle (AV), operating in driverless autonomous mode, was at a complete stop in response to a red light on southbound [XXX] at the intersection with [XXX]. A dark colored Nissan Sentra was also stopped in the adjacent lane to the left of the AV. As the Nissan Sentra and the AV proceeded through the intersection after the light turned green, a pedestrian entered the crosswalk on the opposite side of [XXX] across from the vehicles and proceeded through the intersection against a red light. The pedestrian passed completely through the AVs lane of travel but stopped mid-crosswalk in front of the Nissan Sentra. Shortly thereafter, the Nissan Sentra made contact with the pedestrian, deflecting the pedestrian in front of the AV. The AV braked aggressively but, shortly thereafter, made contact with the pedestrian. The AV then attempted to pull over out of traffic, pulling the individual forward, rather than remaining stationary. The driver of the Nissan Sentra left the scene shortly after the collision. Police and Emergency Medical Services (EMS) were called to the scene and the pedestrian was transported by EMS. On November 2, 2023, Cruise submitted a voluntary recall report to NHTSA relating to the AVs response after the collision, based on updated analysis that Cruise performed since the filing of the previous submissions.",Y
540-6400,3,"General Motors, LLC",Update,,,NOV-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,14, , , , , , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"On November 3, 2023, GM Cruise Holdings LLC (""Cruise"") filed an update Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-6395-3).",
30412-6395,3,Cruise LLC,Update,,,NOV-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"General Motors, LLC", , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,14, , , , , , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Cruise is submitting this updated report to correct the pre-crash speed and provide additional information in the narrative since the previous submission (30412-6395-2) on October 12, 2023. A Cruise autonomous vehicle (AV), operating in driverless autonomous mode, was at a complete stop in response to a red light on southbound [XXX] at the intersection with [XXX]. A dark colored Nissan Sentra was also stopped in the adjacent lane to the left of the AV. As the Nissan Sentra and the AV proceeded through the intersection after the light turned green, a pedestrian entered the crosswalk on the opposite side of [XXX] across from the vehicles and proceeded through the intersection against a red light. The pedestrian passed completely through the AVs lane of travel but stopped mid-crosswalk in front of the Nissan Sentra. Shortly thereafter, the Nissan Sentra made contact with the pedestrian, deflecting the pedestrian in front of the AV. The AV braked aggressively but, shortly thereafter, made contact with the pedestrian. The AV then attempted to pull over out of traffic, pulling the individual forward, rather than remaining stationary. The driver of the Nissan Sentra left the scene shortly after the collision. Police and Emergency Medical Services (EMS) were called to the scene and the pedestrian was transported by EMS. On November 2, 2023, Cruise submitted a voluntary recall report to NHTSA relating to the AVs response after the collision, based on updated analysis that Cruise performed since the filing of the previous submissions. [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
540-6400,2,"General Motors, LLC",10-Day Update,,,OCT-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,17, , , , , , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"On October 11, 2023, GM Cruise Holdings LLC (""Cruise"") filed a 10-day update Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-6395-2).",
30412-6395,2,Cruise LLC,10-Day Update,,,OCT-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"General Motors, LLC", , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,17, , , , , , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"There are no updates related to this incident since the original submission on October 3, 2023. A Cruise autonomous vehicle (""AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on southbound [XXX] at the intersection with [XXX]. A dark colored Nissan Sentra was also stopped in the adjacent lane to the left of the AV. As the Nissan Sentra and the AV proceeded through the intersection after the light turned green, a pedestrian entered the crosswalk on the opposite side of [XXX] across from the vehicles and proceeded through the intersection against a red light. The pedestrian passed completely through the AV's lane of travel but stopped mid-crosswalk in front of the Nissan Sentra. Shortly thereafter, the Nissan Sentra made contact with the pedestrian, deflecting the pedestrian in front of the AV. The AV braked aggressively but, shortly thereafter, made contact with the pedestrian. The driver of the Nissan Sentra left the scene shortly after the collision. Police and Emergency Medical Services (EMS) were called to the scene and the pedestrian was transported by EMS. [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
540-6400,1,"General Motors, LLC",1-Day,,,OCT-2023,5G21A6P0XP4, ,N/A,Cruise,AV, ,2023, ,244abee15187c37,5091, ,Remote (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,Yes (specify below),CA,Yes,ADS,Cruise LLC, , ,Y, ,Y, , , ,,OCT-2023, ,OCT-2023,21:29, ,8cb088f47f347b4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Pedestrian,Serious,No,NM Crossing Roadway,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,17, , , , , , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"On October 4, 2023, GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-6395-1).",
