Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
988-10802,1,PACCAR Incorporated,Monthly,5,2025,MAY-2025,1XPBD49X4RD, ,N/A,Peterbilt,579, ,2024, ,1029b2a7d8c28c9,120020, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,"Aurora Operations, Inc.", , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,APR-2025, ,APR-2025,15:57, ,b6f8c5a9a4cdd22,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Centerville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:57 PM CDT on April [XXX], an Aurora truck was traveling northbound on [XXX] in autonomy north of Centerville, TX. The Aurora truck encountered shreds of tire in the roadway. The left lane was blocked by another truck and not clear for the Aurora truck to merge away from the tire shreds. Per the company's protocol and when there is a vehicle operator providing supervision, the vehicle operator elected to disengage autonomy to navigate through the tire shreds. The vehicle operator pulled over to the shoulder to inspect the truck and found a torn air hose causing the air tanks to lose pressure. The vehicle operator drove to a nearby truck stop to enable the repair work to be completed. No injuries were reported.",
30270-10631,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S18R1, ,N/A,Jaguar,I-PACE, ,2024, ,97d63549c1b4f56,76814, ,None,5th Generation ADS, , ,5th Generation, , ,Version 10, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,10:13, ,3444f2a4b6c46e8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Making Right Turn,No,No,No Passengers in Vehicle,2, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 10:13 AM MST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a metal chain at a parking lot entrance on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and turned right into a parking lot entrance when the front of the Waymo AV made contact with a metal chain that was across the entrance of the lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the metal pole holding the chain sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30530-10791,1,"Aurora Operations, Inc.",Monthly,5,2025,MAY-2025,1XPBD49X4RD, ,N/A,Peterbilt,579, ,2024, ,1029b2a7d8c28c9,120020, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,APR-2025, ,APR-2025,15:57, ,b6f8c5a9a4cdd22,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Centerville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:57 PM CDT on April [XXX], an Aurora truck was traveling northbound on [XXX] in autonomy north of Centerville, TX. The Aurora truck encountered shreds of tire in the roadway. The left lane was blocked by another truck and not clear for the Aurora truck to merge away from the tire shreds. Per the company's protocol and when there is a vehicle operator providing supervision, the vehicle operator elected to disengage autonomy to navigate through the tire shreds. The vehicle operator pulled over to the shoulder to inspect the truck and found a torn air hose causing the air tanks to lose pressure. The vehicle operator drove to a nearby truck stop to enable the repair work to be completed. No injuries were reported.",
30270-10602,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S16R1, ,N/A,Jaguar,I-PACE, ,2024, ,de56029a676ce2f,32608, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,01:29, ,3e5d99121245470,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,5, , , , , , ,Y, , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 1:29 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a non-powered cord on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] when the front of the Waymo AV made contact with a cord that was draped across the roadway and attached to a plastic chair in the opposing lane. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10727,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,58fc028660eda5f,35114, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,APR-2025,06:11, ,d60f0a7874550b0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,No,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,No Passengers in Vehicle,19, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 6:11 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco was in a collision involving debris on [XXX] near [XXX]. 
The Waymo AV was traveling northbound in the leftmost lane on [XXX] when the front passenger side tire of the Waymo AV made contact with a piece of debris that was in the roadway, causing the Waymo AV to slow to a stop. The passenger car traveling directly behind the Waymo AV also slowed to a stop, causing a second passenger car traveling behind the first passenger car to also slow. While the second passenger car was slowing, a third passenger car traveling behind the second passenger car began to merge into the center lane and the front driver side of the third passenger car made contact with the rear passenger side of the second passenger car. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The second and third passenger cars sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30610-10711,1,"Zoox, Inc.",1-Day,,,MAY-2025,7Z00XVHX7RK, ,N/A,Zoox,sedan, ,2024, ,0c73c4fc3c11efd,12779, ,None,B322.25.05.08, , ,B322.25.05.08, , ,B322.25.05.08, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAY-2025, ,MAY-2025,19:53, ,b7ad401221e8988,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",Minor,No,Proceeding Straight,Not Applicable,No, , , , , ,Y, , , , , ,Making Right Turn,No,No,No Passengers in Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"An unoccupied Zoox vehicle in autonomous mode was traveling south on [XXX], slowing and preparing to make a right turn onto [XXX] in San Francisco. At that time, an approaching e-scooterist was also traveling south on [XXX] in the curb lane offset from the Zoox vehicle. The Zoox vehicle braked to a stop as the e-scooterist was beginning to enter the intersection. The e-scooterist then made contact with the right rear side of the stopped Zoox vehicle, and the e-scooterist fell to the ground next to the Zoox vehicle. The Zoox vehicle then started to move and completed the right turn onto [XXX], coming to a stop a short distance down [XXX]. The e-scooterist then walked themself and the e-scooter over to the sidewalk, where they were met by a member of the Zoox operations team, and they reported ""[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] chipped tooth and jaw pain."" The e-scooterist declined medical attention and rode their e-scooter from the scene after exchanging information. There was no damage to the Zoox vehicle and the police were not called.",
30634-10693,1,PlusAI Inc,5-Day,,,MAY-2025,1XKYDP9XXLJ, ,N/A,KENWORTH,T680, ,2020, ,c85cbc0da3b99a9,228000, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, ,Y,,, ,Y,No,,Yes,ADS,"PLUSAI, INC", , , , , ,Y, , ,,MAY-2025, ,MAY-2025,11:47, ,f0ae0f1d67d9a27,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Oak Ridge North, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,"Other, see Narrative",65, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",No,Yes,Y,Y, , , , , , , , , ,"Other, see Narrative",No,No,Yes,53, , , , , , , , ,Y,Y, , ,Y,Y,Y, ,Y, , , ,Yes,Houston Police Department, ,Yes,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"On May [XXX], 2025, a Plus autonomous test truck was driving in autonomous mode on a public highway in Texas with a Safety Driver.  Plus's safety drivers are experienced and well-trained. The Safety Driver operating the particular vehicle has 12-years of over-the-road commercial vehicle driving experience. All safety drivers are trained to manage potential hazards they may encounter on the roads and are encouraged to retake control of the vehicle whenever necessary to ensure safe operation.  
Here, the Plus vehicle was traveling Northbound on [XXX] at approximately 63 mph in mild to moderate traffic with clear weather conditions.  According to the video camera log, the truck was in autonomous mode when a black SUV traveling in the right-most driving lane swerved to the right into the emergency lane (i.e., the shoulder) to avoid a vehicle that had stopped before it in the driving lane. Seeing the disabled vehicle in the driving lane, the Plus Safety Driver took control of the truck by applying the brakes and began to decelerate the vehicle. Two vehicles traveling behind the black SUV in the same lane then swerved to the left and into the lane in which the Plus vehicle was traveling.  The left side of the second of these vehicles (a minivan) made contact with the Plus truck's right side. [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]
The Plus truck swerved slightly into the lane to its left as a result of the contact, avoiding a pickup truck that was passing by it. The Safety Driver then re-centered the vehicle into the truck's original lane. After the contact, the minivan moved into the rightmost lane and then ultimately came to a stop in the emergency lane.  The Plus Safety Driver changed lanes and also brought the truck to a stop in the emergency lane.
A Police report was taken at the scene, but the Plus Safety Driver did not receive a copy of it.  Based on our best information, none of the passengers in the minivan reported injuries and the only damage was to the vehicle's driver-side tire.  The minivan nevertheless was towed away from the scene.  The Plus truck did not have any damage and was able to continue driving to its destination.",Y
30270-10674,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S14R1, ,N/A,Jaguar,I-PACE, ,2024, ,497e6e5cfab8d6c,26562, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,11:36, ,7a7b2577ac47f2f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,No Passengers in Vehicle,33, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 11:36 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a wheel and tire on [XXX] near [XXX]. 
The Waymo AV was traveling northbound on [XXX] in the middle lane when the left front wheel from an SUV traveling in the right most lane of [XXX] separated from the SUV and rolled into the Waymo AV's lane of travel. The front driver side of the Waymo AV made contact with the wheel and tire. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10563,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S13R1, ,N/A,Jaguar,I-Pace, ,2024, ,5ee26dfcd048807,33012, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,08:49, ,622ea0e82c437fd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,28, , , , , ,Y, , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 8:49 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, CA was in a collision involving a tree branch on [XXX] near [XXX]. 
The Waymo AV was traveling northwestbound on [XXX] when it approached a section of the roadway where the branches of a tree were situated directly above the Waymo AV's lane of travel. As the Waymo AV proceeded under the tree, a branch broke off and fell into the path of the Waymo AV, making contact with the hood and front driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the tree branch sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10558,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S15R1, ,N/A,Jaguar,I-Pace, ,2024, ,788a4eb8ba61f72,16934, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:32, ,5fbc5372ff3cbb0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Scottsdale, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,65, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 2:32 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a piece of metal debris on [XXX] ([XXX]) just before Exit [XXX] to [XXX]. 
The Waymo AV was traveling north on [XXX] when its front driver side tire made contact with a piece of metal debris in the roadway and immediately deflated. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
