Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10561,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S16R1, ,N/A,Jaguar,I-PACE, ,2024, ,a73af3aabb5cf29,31294, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,22:41, ,19b3e103282a660,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,5, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April[XXX], 2025 at 10:41 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a traffic control gate arm on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop behind a passenger car that had stopped for a closed traffic control gate arm. While the Waymo AV remained stopped, the gate arm rose to allow the passenger car to pass through. After the passenger car had passed through the gate, the Waymo AV began to proceed through the open gate when the gate arm lowered and made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10497,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S12M1, ,N/A,Jaguar,I-Pace, ,2021, ,b6ab54ad1accaba,132178, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,11:17, ,36299db7911dfd0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,15, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 11:17 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a curb on [XXX] near [XXX]. 
The Waymo AV was traveling eastbound on [XXX] in the left lane when the passenger side front tire made contact with the curb of the [XXX], [XXX] and [XXX] causing the tire to deflate. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9873,1,Waymo LLC,Monthly,1,2025,FEB-2025,SADHW2S18M1, ,N/A,Jaguar,I-PACE, ,2021, ,0e27c117ddc79c5,104577, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,15:46, ,7039609476ade85,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,9, , , ,Y, , ,Y, , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 3:46 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a fallen utility line on [XXX]. 
The Waymo AV was traveling north on [XXX] when the front of the Waymo AV made contact with a fallen utility line that was hanging across [XXX]. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30413-9958,1,May Mobility,Monthly,1,2025,FEB-2025,5TDYRKEC2RS, ,N/A,Toyota,Sienna, ,2024, ,c61027d6b726b73,9469, ,In-Vehicle (Commercial / Test),3, , ,5.2, , ,23.1.5, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JAN-2025, ,JAN-2025,09:28, ,f73e7dccf40f38d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Peachtree Corners, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,,Y,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Making Right Turn,No,No,Yes,7, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A May shuttle began a test shift on experimental software in a parking sub-lot. The vehicle exited the sub-lot and rolled over a curb. The vehicle stopped at a stop sign at the exit of the main lot. As it proceeded to turn onto the main road, it rolled over another curb. Almost immediately after rolling the curb, the vehicle began to drift right in lane, rubbing the vehicle sidewall on a curb. The test driver intervened immediately, but not before the sidewall of the rear right tire was weakened. Later during the drive while under manual control, the sidewall fails, eventually leading to a low pressure indicator illuminating in the dash. It was discovered that the deployment of map files, which must remain compatible, was incomplete, leaving a mismatch in the system. This resulted in the vehicle having an incorrect estimate of where lanes are in the coordinates of our localization map, and as a result, the vehicle had an incorrect estimate of proximity to lane boundaries, resulting in curb strikes.",
30610-9722,1,"Zoox, Inc.",5-Day,,,JAN-2025,5TDDGRFHXKS, ,N/A,Toyota,Highlander, ,2019, ,394fe1d76abad46,52389, ,In-Vehicle (Commercial / Test),329.25.01.14, , ,329.25.01.14, , ,329.25.01.14, , ,, ,Y,,, ,Y,Yes (specify below),NV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,JAN-2025, ,JAN-2025,08:57, ,30ea25a102ed6d6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Paradise, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,"Other, see Narrative",30, ,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,4, , , ,Y, , ,Y,Y, ,Y, , , , ,Y, ,Y, , , ,Yes,Nevada Highway Patrol, ,No,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"A Zoox vehicle (Vehicle 1) in autonomous mode was traveling in the right lane on southbound [XXX] approaching [XXX] in Paradise, NV. The Zoox vehicle operator disengaged from autonomy and drove over an in-lane, dislodged manhole cover with the front passenger side tire of the vehicle, causing the manhole cover to rise and strike the passenger side rear wheel and tire. The impact debeaded the tire and fractured the wheel rim. The Zoox vehicle then rotated clockwise, towards the concrete planter on the right side abutting the curb. The Zoox vehicle operator then braked and the front end of the Zoox vehicle made contact with the concrete planter. Besides damage to the passenger side wheel and rim, the Zoox vehicle's front end also sustained damage. The police were called to the scene and there were no reported injuries.",
30291-9651,1,Nuro,Monthly,12,2024,JAN-2025,JTDKAMFU3M3, ,N/A,Toyota,Prius, ,2021, ,4fcba6753fce2bc,24695, ,In-Vehicle (Commercial / Test),Prius2, , ,Prius2, , ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, ,Y,,, ,Y,No,,Yes,ADS,Nuro Inc., , , , ,Y, , , ,,DEC-2024, ,DEC-2024,13:05, ,773db7d86245192,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Daylight,Y, , , , , , , ,,Other Fixed Object,Minor,No,,,, , , , , , , , , , , ,Making Left Turn,No,No,Yes,9, , ,Y, , , , , , , , , , , , , ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"On December [XXX], 2024 in Houston, Texas, a Nuro vehicle operating in manual made contact with a curb. Fifteen seconds prior to the incident, the operator disengaged autonomy in order to make a left turn from a parking lot due into heavy traffic.  While making the turn, the vehicle made contact with a concrete divider curb.  This contact caused some minor scraping damage on the side of the vehicle, but no other property damage or injuries.
Autonomy was not engaged during this incident, and did not cause or affect this incident in any way.",
30270-9566,1,Waymo LLC,Monthly,12,2024,JAN-2025,SADHW2S12R1, ,N/A,JLR,I-PACE, ,2024, ,5c27931763d8205,40864, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,00:56, ,6b2846e5734f96b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,24, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 12:56 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a vacuum cleaner on [XXX] at [XXX]. 
The Waymo AV was traveling north on [XXX] in the left lane of two lanes when it encountered a vacuum cleaner laying on its side in the roadway within its lane and across the lane line separating the two lanes. The Waymo AV applied braking and the front passenger side tire of the Waymo AV made contact with the vacuum cleaner.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The vacuum cleaner sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9561,1,Waymo LLC,Monthly,12,2024,JAN-2025,SADHW2S15R1, ,N/A,JLR,I-PACE, ,2024, ,c8ac17680c44a98,17617, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,12:58, ,a5e8792bde37720,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,4, , , , , ,Y, , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 12:58 PM a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a traffic control gate arm on [XXX] at [XXX].  
The Waymo AV was traveling west on [XXX] and came to a stop for a closed traffic control gate arm.  While the Waymo AV remained stopped, another vehicle approached and the gate arm rose to allow the vehicle to pass through. After the other vehicle had passed through, the Waymo AV attempted to proceed through the open traffic control when the gate arm lowered and made contact with the front of the AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The gate arm sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Waymo may supplement or correct its reporting with additional information as it may become available.",
30531-9244,1,Transdev Alternative Services,5-Day,,,NOV-2024,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,3939a6251560c3b,140129, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,23:04, ,7e4946ffe5ce559,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Dark - Not Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Thursday, November [XXX], 2024 at 11:04 CST, a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a raised concrete curb in a parking lot on [XXX] near [XXX].
The Waymo AV was proceeding through a parking lot on [XXX] near [XXX] in autonomous mode when it encountered a passenger car parked outside the marked parking spaces occupying a portion of the parking lot apparently intended for ingress and egress from the lot rather than parking.  The AV came to a stop, and shortly thereafter the test driver assumed manual control of the AV.  The test driver reversed slightly and then proceeded through a vacant marked parking space to pass around the parked passenger car, and as the AV crossed through the vacant parking space it made contact with a raised concrete curb.
At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual.  This is a duplicate of NHTSA Report ID: 30270-9232-1.",
30270-9232,1,Waymo LLC,5-Day,,,NOV-2024,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,3939a6251560c3b,140129, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,23:04, ,7e4946ffe5ce559,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Dark - Not Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Thursday, November [XXX], 2024 at 11:04 PM CST, a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a raised concrete curb in a parking lot on [XXX] near [XXX].
The Waymo AV was proceeding through a parking lot on [XXX] near [XXX] in autonomous mode when it encountered a passenger car parked outside the marked parking spaces occupying a portion of the parking lot apparently intended for ingress and egress from the lot rather than parking. The AV came to a stop, and shortly thereafter the test driver assumed manual control AV. The test driver reversed slightly and then proceeded through a vacant marked parking space to pass around the parked passenger car, and as the AV crossed through the vacant parking space it made contact with a raised concrete curb.
At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
