Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30792-10691,1,WeRide Corp,5-Day,,,MAY-2025,1N4CZ1CV2PC, ,N/A,Nissan,Leaf, ,2023, ,caa76225bb77e79,27877, ,In-Vehicle and Remote (Commercial / Test),11b754c9b332280388f93e72b564a595c71f1e70, , ,1.6, , ,4.3, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVDT Permit,Yes,ADS,WeRide, , ,Y, ,Y, , , ,,MAY-2025, ,MAY-2025,14:23, ,c2cceca3c7e755a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Clara, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,No,Changing Lanes,No,No, , , , , , , ,Y,Y, , ,Proceeding Straight,No,Yes,Yes,45, , ,Y,Y, , , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"At 2:23pm:  WeRide driverless vehicle (vehicle 1) with a safety operator seated in front passenger seat, was travelling 45mph without much traffic ahead when a BMW x3 (vehicle 2) travelling in the adjacent left lane and in the same direction, merged into vehicle 1's left front quarter panel. Vehicle 1 and Vehicle 2 sustained moderate damages.
After discussing the incident with vehicle 2's driver, they admitted they were attempting to make an upcoming right turn off the expressway. They initiated 2 consecutive right lane changes abruptly before hitting vehicle 1 on their last attempted lane change.
After the initial impact, vehicle 1 was forced out of the initial lane, onto a divide, and ultimately came to a stop on the shoulder of the expressway. At this time both occupants of vehicle 1 and vehicle 2 were able to assess respective damages and exchange information. It was determined that there were no injuries. WeRide Vehicle (Vehicle 1) required a tow back to the facility.",
30270-10790,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-PACE, ,2024, ,ee6ac5b4cf51a16,9725, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,08:31, ,541af028674029f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,No,"No, see Narrative",0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 8:31 AM a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was stopped at the curb facing north on [XXX] for a passenger drop-off when an SUV traveling northbound on [XXX] passed the Waymo AV. As the SUV passed the stationary Waymo AV, the passenger side of the SUV made contact with the rear driver side of the Waymo AV. A passenger, who was seated in the rear of the Waymo AV, was not belted at the time of the collision, likely because they were preparing to exit the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10680,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S13R1, ,N/A,Jaguar,I-Pace, ,2024, ,356f5c95bf804e5,11411, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,22:07, ,2793db955371f40,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Passing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 10:08 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] and [XXX]. 
The Waymo AV was traveling northeast on [XXX] preparing to make a right turn, and stopped in the right lane at a green light at the intersection with [XXX], yielding to a passenger car stopped within the intersection traveling southeast on [XXX]. An SUV stopped directly behind the Waymo AV passed the Waymo AV on the left to make a left turn onto [XXX], and the rear passenger side of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10753,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,e1e1265b959c710,54010, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,17:13, ,9f24abe73cfc948,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,1, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 5:13 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, CA was in a collision involving a SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] and began to slow to a stop for a stop sign at the intersection at [XXX]. As the Waymo AV was coming to a stop, an SUV traveling directly behind the Waymo AV approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10752,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,4fda5a69ad1163d,31483, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:56, ,aef5f220ddcfff1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Parking Maneuver,No,No, , , ,Y, , , , , , , ,Parked,No,No,No Passengers in Vehicle,0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 2:56 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing south on [XXX] when an SUV that was parallel parking in front of the Waymo AV reversed, and the rear of the SUV made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10748,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S10R1, ,N/A,Jaguar,I-PACE, ,2024, ,0be782898c8fe76,26310, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,17:32, ,7308e86f6c4f636,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,"No, see Narrative",0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 5:32 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was stopped facing southeast on [XXX] for a passenger drop-off when an SUV traveling directly behind the parked Waymo AV proceeded to pass the Waymo AV on the left. As the SUV passed the parked Waymo AV, the passenger side of the SUV made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. Both passengers, who were seated in the rear of the Waymo AV, were not belted at the time of the collision, as they were preparing to exit the vehicle.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10747,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S18R1, ,N/A,Jaguar,I-PACE, ,2024, ,90f750a3e08168b,37011, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,15:31, ,fd63b45b89e60d1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Passing,No,No, , , , , , , , ,Y, , ,Parked,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 3:31 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped in lane on southbound [XXX] for a passenger pickup. An SUV traveling southbound on [XXX] slowed to a stop as it approached the parked Waymo AV. The SUV entered the opposing lane of travel in an attempt to pass the stationary Waymo AV on the left and the front passenger side of the SUV made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10679,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S1XR1, ,N/A,Jaguar,I-Pace, ,2024, ,34dcbe78146118f,35981, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,18:10, ,e5968e6ffdbb083,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,20, ,Daylight, , ,Y, , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 6:10 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was stopped facing east in a passenger loading zone at the right curb on [XXX] with its left signal light activated to merge into traffic. An SUV traveling eastbound on [XXX] in the adjacent lane passed the Waymo AV and the passenger side of the SUV made contact with the driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10678,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S18R1, ,N/A,Jaguar,I-Pace, ,2024, ,006ffe23c5da72b,15441, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,09:04, ,2b08326e556afc7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,No,"No, see Narrative",0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 6:10 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was stopped facing east in a passenger loading zone at the right curb on [XXX] with its left signal light activated to merge into traffic. An SUV traveling eastbound on [XXX] in a passenger loading zone, began to unpark. While maneuvering around the Waymo AV and into the lane of travel, the passenger side of the SUV made contact with the rear driver side of the stationary Waymo AV. The passenger, who was seated in the rear of the Waymo AV, was not belted at the time of the collision as they were preparing to exit the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10672,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S16R1, ,N/A,Jaguar,I-Pace, ,2024, ,b9e96b138ab8e57,41436, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,05:59, ,894062e6b5b6b77,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,15, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 5:59 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was traveling southwest bound on [XXX] when it slowed to a stop as it approached an SUV reversing in the roadway. The Waymo AV reversed to make room for the reversing SUV and came to a stop at the right side of the roadway with hazard lights activated. The SUV continued reversing on the left side of the roadway and the rear passenger side of the SUV made contact with the front driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
