Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10792,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S15R1, ,N/A,Jaguar,I-Pace, ,2024, ,f1fbcd0fc9ffdd2,16531, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,11:57, ,2af6f9baf72782b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Parked,No,No,No Passengers in Vehicle,0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 11:57 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing southwest on [XXX] when a van parked in front of the Waymo AV reversed and the rear of the van made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10599,1,Waymo LLC,5-Day,,,MAY-2025,SADHW2S1XR1, ,N/A,Jaguar,I-PACE, ,2024, ,0ef20cdc65d797c,6721, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,00:41, ,af131997df17829,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Venice, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Passing,No,No, , , , , , , ,Y, , , ,Parked,No,Yes,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 12:41 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Venice, California was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was parked in-lane for a passenger drop-off facing southwest on [XXX] with hazard lights activated. A van that was stopped directly behind the Waymo AV began to maneuver around the stationary Waymo by crossing the yellow center line, entering the opposing lane of travel. As the van proceeded to the left of the stationary Waymo AV, the Waymo AV passenger opened the driver side rear door and the passenger side of the van made contact with the open driver side rear door of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passengers who were seated in the rear of the Waymo AV and the front passenger seat were not belted at the time of the collision, as they were likely preparing to exit the Waymo AV. Both vehicles sustained damage. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10450,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,fbc392705616c62,22591, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,00:51, ,700b400d685d07b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Passing,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 12:51 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was stopped facing north on [XXX] for a rider pickup when a van traveling directly behind the parked Waymo AV proceeded to pass the Waymo AV. As the van passed the parked Waymo AV, the passenger side of the van made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The van sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10324,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S1XR1, ,N/A,Jaguar,I-Pace, ,2024, ,9e40c2babfb79c8,17480, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,00:01, ,063193d08c16979,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 12:01 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was stopped facing south in a cul-de-sac on [XXX] after making a series of maneuvers to exit the cul-de-sac. A van was within the cul-de-sac directly behind the Waymo AV, and began to pass the stationary Waymo AV on the left. As the van passed the Waymo AV, the passenger side of the van made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10130,1,Waymo LLC,Monthly,2,2025,MAR-2025,SADHW2S13R1, ,N/A,Jaguar,I-PACE, ,2024, ,3c8b4e930e85379,36824, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,16:31, ,6e8436d7b93f635,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 4:31 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX]. 
The Waymo AV was traveling north in the second from the right lane on [XXX] and came to a stop in a queue of traffic for a red light at the intersection at [XXX]. As the light at [XXX]turned green, the Waymo AV began to proceed and then approached a stopped school bus in the rightmost lane. The school bus did not have active flashing lights, but the Waymo AV came to a stop due to the detection of possible flashing lights on the school bus.  A van approached the Waymo AV from behind, and the front of the van made contact with the rear of the stationary Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.  The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10135,1,Waymo LLC,Monthly,2,2025,MAR-2025,SADHW2S11R1, ,N/A,Jaguar,I-PACE, ,2024, ,1e9e5d983fe05bf,31532, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,14:58, ,4ae0f7763f7a1cb,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Crossing into Opposing Lane,No,No, , , , , , , ,Y, , , ,Parked,No,No,"No, see Narrative",0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 2:58 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX]. 
The Waymo AV was stopped facing north on [XXX] for a passenger drop-off when a van traveling north on [XXX] passed by the Waymo AV.  As the van passed by the parked Waymo AV, the passenger side of the van made contact with the rear driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passengers in the vehicle were not belted at the time of the collision as they were preparing to exit the Waymo AV. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
669-10257,1,Hyundai Motor America,Monthly,2,2025,MAR-2025,PFDKB4AE3RF, ,N/A,Hyundai,IONIQ 5, ,2024, ,48d0706c1e92595,5831, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Motional, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,21:50, ,b42deb39142d807,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Making Left Turn,No,No, , ,Y, , ,Y, , ,Y, , ,Making Left Turn,No,No,Yes,2, ,Y, , ,Y, , ,Y, , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"In collaboration with Motional, below is a summary based on their statement:
On February [XXX], 2025, at approximately 9:50 PM PT, a Motional AV with VIN PFDKB4AE3RF[XXX] was operating in autonomous mode in Las Vegas, Nevada. The vehicle was stopped in a left-turn lane on [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to turn left onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. A safety driver was in the driver's seat, and an engineer was in the front passenger seat.
When the light turned from red to a left green arrow, the AV began making a left turn onto [XXX] when a vehicle, two cars behind the AV, rear-ended the cargo van
immediately behind the AV, causing the cargo van to rear-end the AV at approximately 2-5 MPH. Following the impact, the safety driver assumed control of the AV and pulled over safely to the side of Russell Road.
No injuries were reported in any of the vehicles, and no airbags deployed. The AV sustained damage to its rear bumper. Both vehicles remained drivable and departed the scene under their own power. Law enforcement was not contacted at the time of the incident if a police report becomes available, a copy will be provided.",
30410-9804,1,Motional,Monthly,2,2025,MAR-2025,PFDKB4AE3RF, ,n/a,Hyundai,Ioniq 5, ,2024, ,48d0706c1e92595,5831, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Hyundai Motor America, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,21:50, ,b42deb39142d807,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Making Left Turn,No,No, , ,Y, , ,Y, , ,Y, , ,Making Left Turn,No,No,Yes,2, ,Y, , ,Y, , ,Y, , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025, at approximately 9:50 PM PT, a Motional AV with VIN PFDKB4AE3RF000093 was operating in autonomous mode in Las Vegas, Nevada. The vehicle was stopped in a left-turn lane on [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to turn left onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. A safety driver was in the driver's seat, and an engineer was in the front passenger seat.
When the light turned from red to a left green arrow, the AV began making a left turn onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] when a vehicle, two cars behind the AV, rear-ended the cargo van immediately behind the AV, causing the cargo van to rear-end the AV at approximately 2-5 MPH. Following the impact, the safety driver assumed control of the AV and pulled over safely to the side of Russell Road.
No injuries were reported in any of the vehicles, and no airbags deployed. The AV sustained damage to its rear bumper. Both vehicles remained drivable and departed the scene under their own power. Law enforcement was not contacted at the time of the incident if a police report becomes available, a copy will be provided.",Y
30270-9850,1,Waymo LLC,Monthly,1,2025,FEB-2025,SADHW2S18R1, ,N/A,Jaguar,I-PACE, ,2024, ,5c94bfbcaa51d6a,22213, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,13:53, ,4496e31201f3e12,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 1:53PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX].
The Waymo AV was stopped in-lane for a rider drop-off facing west on a narrow portion of [XXX]when a van traveling west on [XXX] passed the Waymo AV. As the van passed the parked Waymo AV, the rear passenger side of the van made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.The van sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9573,1,Waymo LLC,Monthly,12,2024,JAN-2025,SADHW2S10R1, ,N/A,JLR,I-PACE, ,2024, ,916379bf05eaf32,11689, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,11:11, ,dc36c40a6be7a25,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , ,Y, , , , ,Parked,No,No,No Passengers in Vehicle,0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 11:11 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing northwest on [XXX] when a van traveling northwest in the rightmost lane of [XXX] passed the Waymo AV. As the van passed the parked Waymo AV, the passenger side of the van made contact with the driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The van sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
