Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-9828,1,Waymo LLC,5-Day,,,FEB-2025,SADHW2S15R1, ,N/A,Jaguar,I-Pace, ,2024, ,367be9171186d48,24547, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,01:32, ,ce972fc6332dca6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Brisbane, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,45, ,Dark - Not Lighted, , , , ,Y, , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,No Passengers in Vehicle,43, , , ,Y, , ,Y, , ,Y, , , , ,Y, ,Y,Y, , ,Yes,Brisbane Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On February [XXX], 2025 at 1:32 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Brisbane, California was in a collision involving a hand truck dolly on [XXX] near [XXX].
The Waymo AV was traveling southbound on [XXX] in the leftmost lane of two southbound lanes when an oncoming vehicle in the northbound lane struck a hand truck dolly, which was then projected from the northbound lane through the median lane and into the southbound lane occupied by the Waymo AV. The front of the Waymo AV then made contact with the hand truck dolly, which became lodged at the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV and the hand truck dolly sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9735,1,Waymo LLC,5-Day,,,JAN-2025,SADHW2S10M1, ,N/A,Jaguar,I-Pace, ,2021, ,3cf7c25f2209456,89259, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC               ",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,06:42, ,75b9ed7c42a9a4c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40, ,Dark - Not Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,"Other, see Narrative",No,No, , , , , , , ,Y, , , ,Proceeding Straight,No,Yes,No Passengers in Vehicle,21, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 6:42 AM PT a Waymo Autonomous Vehicle (Waymo AV) operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was proceeding south on [XXX] when a passenger car in front of the Waymo AV entered the two-way center turn lane on its left. As the Waymo AV neared the passenger car, the passenger car began to maneuver out of the center turn lane and re-enter the singular lane of [XXX]. The passenger side of the passenger car then made contact with the driver side of the Waymo AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30531-9244,1,Transdev Alternative Services,5-Day,,,NOV-2024,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,3939a6251560c3b,140129, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,23:04, ,7e4946ffe5ce559,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Dark - Not Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Thursday, November [XXX], 2024 at 11:04 CST, a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a raised concrete curb in a parking lot on [XXX] near [XXX].
The Waymo AV was proceeding through a parking lot on [XXX] near [XXX] in autonomous mode when it encountered a passenger car parked outside the marked parking spaces occupying a portion of the parking lot apparently intended for ingress and egress from the lot rather than parking.  The AV came to a stop, and shortly thereafter the test driver assumed manual control of the AV.  The test driver reversed slightly and then proceeded through a vacant marked parking space to pass around the parked passenger car, and as the AV crossed through the vacant parking space it made contact with a raised concrete curb.
At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual.  This is a duplicate of NHTSA Report ID: 30270-9232-1.",
30270-9232,1,Waymo LLC,5-Day,,,NOV-2024,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,3939a6251560c3b,140129, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,NOV-2024, ,NOV-2024,23:04, ,7e4946ffe5ce559,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Dark - Not Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Thursday, November [XXX], 2024 at 11:04 PM CST, a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a raised concrete curb in a parking lot on [XXX] near [XXX].
The Waymo AV was proceeding through a parking lot on [XXX] near [XXX] in autonomous mode when it encountered a passenger car parked outside the marked parking spaces occupying a portion of the parking lot apparently intended for ingress and egress from the lot rather than parking. The AV came to a stop, and shortly thereafter the test driver assumed manual control AV. The test driver reversed slightly and then proceeded through a vacant marked parking space to pass around the parked passenger car, and as the AV crossed through the vacant parking space it made contact with a raised concrete curb.
At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
988-9119,1,PACCAR Incorporated,Monthly,11,2024,NOV-2024,1XPBD49X1PD, ,N/A,Peterbilt,579, ,2023, ,9c79dca9f5bfa7e,85783, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc", , ,Y, ,Y,Y, , ,,OCT-2024, ,OCT-2024,3:29, ,76e5d31295af2c3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Streetman, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,74, , , ,Y, , , , , , , , ,Y, ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:29 AM CDT on October [XXX], an Aurora truck was traveling Northbound on highway [XXX] near Fairfield, TX, when it struck a deer. No injuries were reported. As per the company's protocols, the vehicle operators elected to disengage autonomy just before the strike, pulled over to inspect the truck, observed and reported minor damage, and drove to the Aurora terminal.",
30530-9093,1,"Aurora Operations, Inc.",Monthly,11,2024,NOV-2024,1XPBD49X1PD, ,N/A,Peterbilt,579, ,2023, ,9c79dca9f5bfa7e,85783, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,OCT-2024, ,OCT-2024,03:29, ,76e5d31295af2c3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Streetman, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted,Y, , , , , , , ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,74, , , ,Y, , , , , , , , ,Y, ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:29 AM CDT on October [XXX], an Aurora truck was traveling Northbound on highway [XXX] near Fairfield, TX, when it struck a deer. No injuries were reported. As per the company's protocols, the vehicle operators elected to disengage autonomy just before the strike, pulled over to inspect the truck, observed and reported minor damage, and drove to the Aurora terminal.",
30270-8266,1,Waymo LLC,5-Day,,,AUG-2024,SADHW2S1XR1, ,N/A,Jaguar,I-Pace, ,2024, ,7764ec909f37fb8,431, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JUL-2024, ,JUL-2024,04:28, ,5c8348bcf998c8b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Not Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Traveling Wrong Way,No,No, , , , , , , ,Y, , , ,Stopped,No,Yes,No Passengers in Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On July [XXX], 2024 at 4:28 AM PT a Waymo Autonomous Vehicle (Waymo AV) operating in San Francisco, California was in a collision involving a passenger car on [XXX] at the [XXX] Exit. 
The Waymo AV was traveling east on [XXX] when it took the one-way onramp exit to [XXX]. As the Waymo AV was traveling through the onramp, a passenger car approached in the oncoming direction, traveling the wrong way on the one-way ramp. The Waymo AV slowed to a stop as it yielded to the oncoming passenger car. While the Waymo AV remained stopped, the passenger car passed the Waymo AV on the right of the Waymo AV. As the passenger car was passing the stopped Waymo AV, the passenger side of the passenger car made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-8156,1,Waymo LLC,Monthly,6,2024,JUL-2024,SADHW2S18R1, ,N/A,Jaguar,I-Pace, ,2024, ,d642b99fb76068b,3200, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC						",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JUN-2024, ,JUN-2024,00:07, ,ac315e948c2c082,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Monica, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Not Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Parked,No,No,Y, , , , , , , , , , ,Entering Traffic,No,No,No Passengers in Vehicle,2, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On June [XXX], 2024 at 12:07 AM PT a Waymo Autonomous Vehicle (Waymo AV) operating in [XXX], California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was maneuvering out of a curbside parallel parking space on the south side of [XXX] when the passenger side front corner of the Waymo AV made contact with the driver side back corner of an SUV parked in front of the AV. At the time of the impact, the Waymo AVs Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
988-8119,1,PACCAR Incorporated,Monthly,7,2024,JUL-2024,1XPBD49X0RD, ,N/A,Peterbilt,579, ,2024, ,e1dfebf626e3ebd,22595, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,"Aurora Operations, Inc.", , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,JUN-2024, ,JUN-2024,23:14, ,1fbb1b06277fa39,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Huntsville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted, , , , , , ,Y, ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"On June [XXX] at approximately 11:14 PM CDT, an Aurora truck traveling southbound on [XXX] near mile marker [XXX] struck an unknown
object in the lane. A vehicle immediately in front of the Aurora truck swerved abruptly to avoid the object, leaving the vehicle operators
and the Aurora Driver minimal time to avoid it. The Aurora truck was operating in autonomy at the time.
The vehicle operators stopped at a safe location to inspect the vehicle, but initially found no damage. During a subsequent fuel stop a
few hours later, they noticed minor damage to the right fairing of the truck which wasn't previously visible. The vehicle operators
reported the damage and continued the mission in manual.",
30530-8087,1,"Aurora Operations, Inc.",Monthly,7,2024,JUL-2024,1XPBD49X0RD, ,N/A,Peterbilt,579, ,2024, ,e1dfebf626e3ebd,22595, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,JUN-2024, ,JUN-2024,23:14, ,1fbb1b06277fa39,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Huntsville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Dark - Not Lighted, , , , , , ,Y, ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"On June [XXX] at approximately 11:14 PM CDT, an Aurora truck traveling southbound on [XXX] near mile [XXX] struck an unknown object in the lane. A vehicle immediately in front of the Aurora truck swerved abruptly to avoid the object, leaving the vehicle operators and the Aurora Driver minimal time to avoid it. The Aurora truck was operating in autonomy at the time.
 
The vehicle operators stopped at a safe location to inspect the vehicle, but initially found no damage. During a subsequent fuel stop a few hours later, they noticed minor damage to the right fairing of the truck which wasn't previously visible. The vehicle operators reported the damage and continued the mission in manual.",
