Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30792-10691,1,WeRide Corp,5-Day,,,MAY-2025,1N4CZ1CV2PC, ,N/A,Nissan,Leaf, ,2023, ,caa76225bb77e79,27877, ,In-Vehicle and Remote (Commercial / Test),11b754c9b332280388f93e72b564a595c71f1e70, , ,1.6, , ,4.3, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVDT Permit,Yes,ADS,WeRide, , ,Y, ,Y, , , ,,MAY-2025, ,MAY-2025,14:23, ,c2cceca3c7e755a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Clara, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,No,Changing Lanes,No,No, , , , , , , ,Y,Y, , ,Proceeding Straight,No,Yes,Yes,45, , ,Y,Y, , , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"At 2:23pm:  WeRide driverless vehicle (vehicle 1) with a safety operator seated in front passenger seat, was travelling 45mph without much traffic ahead when a BMW x3 (vehicle 2) travelling in the adjacent left lane and in the same direction, merged into vehicle 1's left front quarter panel. Vehicle 1 and Vehicle 2 sustained moderate damages.
After discussing the incident with vehicle 2's driver, they admitted they were attempting to make an upcoming right turn off the expressway. They initiated 2 consecutive right lane changes abruptly before hitting vehicle 1 on their last attempted lane change.
After the initial impact, vehicle 1 was forced out of the initial lane, onto a divide, and ultimately came to a stop on the shoulder of the expressway. At this time both occupants of vehicle 1 and vehicle 2 were able to assess respective damages and exchange information. It was determined that there were no injuries. WeRide Vehicle (Vehicle 1) required a tow back to the facility.",
30270-10727,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,58fc028660eda5f,35114, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,APR-2025,06:11, ,d60f0a7874550b0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,No,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,No Passengers in Vehicle,19, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 6:11 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco was in a collision involving debris on [XXX] near [XXX]. 
The Waymo AV was traveling northbound in the leftmost lane on [XXX] when the front passenger side tire of the Waymo AV made contact with a piece of debris that was in the roadway, causing the Waymo AV to slow to a stop. The passenger car traveling directly behind the Waymo AV also slowed to a stop, causing a second passenger car traveling behind the first passenger car to also slow. While the second passenger car was slowing, a third passenger car traveling behind the second passenger car began to merge into the center lane and the front driver side of the third passenger car made contact with the rear passenger side of the second passenger car. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The second and third passenger cars sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10768,1,Waymo LLC,1-Day,,,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-Pace, ,2024, ,9ff684673df8aff,11932, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAY-2025, ,MAY-2025,20:00, ,3bed82ec870ce9c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dawn / Dusk,Y, , , , , , , ,,Non-Motorist: Cyclist,Minor,No,NM Crossing Roadway,,, , , , , , , , , , , ,Making Left Turn,No,No,No Passengers in Vehicle,3, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On May [XXX], 2025 at 8:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a cyclist on [XXX] at [XXX]. 
The Waymo AV came to a stop facing westbound on [XXX] at a stop sign at the intersection at [XXX] in a location where vegetation to the left of the AV created occlusion of the approaching near-side sidewalk. After coming to a stop at the stop line, the Waymo AV began moving forward into the intersection at [XXX] when a cyclist that had been traveling northwest on the near-side sidewalk along [XXX] entered the crosswalk and the front tire of the bike made contact with the front driver side of the Waymo AV. The cyclist fell to the ground.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The cyclist later informed Waymo of a minor injury.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30610-10711,1,"Zoox, Inc.",1-Day,,,MAY-2025,7Z00XVHX7RK, ,N/A,Zoox,sedan, ,2024, ,0c73c4fc3c11efd,12779, ,None,B322.25.05.08, , ,B322.25.05.08, , ,B322.25.05.08, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAY-2025, ,MAY-2025,19:53, ,b7ad401221e8988,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",Minor,No,Proceeding Straight,Not Applicable,No, , , , , ,Y, , , , , ,Making Right Turn,No,No,No Passengers in Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"An unoccupied Zoox vehicle in autonomous mode was traveling south on [XXX], slowing and preparing to make a right turn onto [XXX] in San Francisco. At that time, an approaching e-scooterist was also traveling south on [XXX] in the curb lane offset from the Zoox vehicle. The Zoox vehicle braked to a stop as the e-scooterist was beginning to enter the intersection. The e-scooterist then made contact with the right rear side of the stopped Zoox vehicle, and the e-scooterist fell to the ground next to the Zoox vehicle. The Zoox vehicle then started to move and completed the right turn onto [XXX], coming to a stop a short distance down [XXX]. The e-scooterist then walked themself and the e-scooter over to the sidewalk, where they were met by a member of the Zoox operations team, and they reported ""[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] chipped tooth and jaw pain."" The e-scooterist declined medical attention and rode their e-scooter from the scene after exchanging information. There was no damage to the Zoox vehicle and the police were not called.",
30270-10447,1,Waymo LLC,Monthly,3,2025,APR-2025,SADHW2S13R1, ,N/A,Jaguar,I-PACE, ,2024, ,39edc3a2b668bd4,44046, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,MAR-2025, ,MAR-2025,13:05, ,a1a9f216f0b940f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,Minor,No,Backing,No,No,Y, , , , , , , , , , ,Parked,No,No,"No, see Narrative",0, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 1:05 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was parked near the curb facing east on [XXX] for a rider drop-off.  The rider opened the rear passenger door and was exiting the Waymo AV when an SUV reversed out of a driveway to the right of the Waymo AV and the rear driver side of the SUV made contact with the open rear passenger door of the stationary Waymo AV resulting in the door of the Waymo AV making contact with the rider's leg.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger in the Waymo AV alleged a minor injury and was not belted at the time of the collision as they were preparing to exit the Waymo AV.  
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10083,1,Waymo LLC,Monthly,2,2025,MAR-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,99dc6c8a043c39a,16102, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,11:43, ,5665cd0476afae7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Passenger Car,Minor,No,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 11:43 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on[XXX]. 
The Waymo AV was travelling northbound on[XXX] and came to a stop at a red traffic light at the intersection with [XXX]. A passenger car also traveling northbound on S. Sherbourne Drive approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Neither vehicle sustained damage. The passenger in the Waymo AV alleged a minor injury.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10089,1,Waymo LLC,Monthly,2,2025,MAR-2025,SADHW2S16R1, ,N/A,Jaguar,I-PACE, ,2024, ,a6d787df6b6267f,41845, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,FEB-2025,21:14, ,aeddf9a5808923f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,SUV,Minor,No,Changing Lanes,No,No, , , , , , , , ,Y, , ,Proceeding Straight,No,No,Yes,28, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 9:14 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX].
The Waymo AV was travelling eastbound on [XXX] in the center lane when an SUV travelling eastbound in the opposing travel lanes began to approach the Waymo AV from behind and to the left. The SUV then began to maneuver into the left eastbound travel lane, and continued into the center lane occupied by the Waymo AV, and the front passenger side of the SUV made contact with the drivers side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Neither vehicle sustained damage. On February 5, 2025, Waymo received an allegation of a minor injury from the passenger in the Waymo AV.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30571-10171,1,NVIDIA CORP,Monthly,3,2025,MAR-2025,W1K6G7GB2PA, ,N/A,Mercedes-Benz,S580 4M, ,2023, ,a5430bee35debbe,11412, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"Mercedes-Benz USA, LLC", , ,,, ,Y,Yes (specify below),CA,Yes,"Unknown, see Narrative",NVIDIA Corporation, , , , , ,Y, , ,,FEB-2025, ,FEB-2025,14:17, ,fcbf7f3b607c02b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Clara, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,No,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"The Mercedes-Benz vehicle was traveling southbound in a parking lot located at [XXX], Santa Clara, CA 95051 when the driver engaged L3 ADS system for a few seconds. The driver then disengaged L3 ADS and continued to drive in conventional mode. The vehicle was manually braked and came to a complete stop. At this time, a Chevrolet Camaro parked perpendicular to the right of the vehicle, reversed from their parking spot and made contact with the right middle panel of the Mercedes-Benz.",
855-10223,1,"Mercedes-Benz USA, LLC",Monthly,3,2025,MAR-2025,W1K6G7GB2PA, ,N/A,Mercedes-Benz,S 580 4MATIC, ,2022, ,a5430bee35debbe,11412, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,NVIDIA CORP, , ,,,Y, ,Yes (specify below),CA DMV,Yes,"Unknown, see Narrative",NVIDIA, , , , , ,Y, , ,,FEB-2025, ,FEB-2025,14:17, ,fcbf7f3b607c02b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Clara, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Wet,No Unusual Conditions,15, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,No,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"The subject Mercedes-Benz vehicle was driving in the back parking lot of the [XXX] in Santa Clara, CA (parallel to the [XXX]). The Mercedes-Benz vehicle was driven in conventional mode when the driver engaged L3 ADS for a few seconds. The driver then disengaged L3 ADS and continued to drive in conventional mode. The vehicle was manually braked to a stop adjacent to vehicles parked in the parking lot, and perpendicular to a parked Chevrolet Camaro. The driver in the Mercedes-Benz then shifted into Park (""P"") via the gearshift lever. While the Mercedes-Benz vehicle was stopped, the Chevrolet Camaro reversed out of its parking space and contacted the Mercedes-Benz vehicle at the right rear door. As a result, the right rear corner of the Chevrolet Camaro and the right rear passenger door of the Mercedes-Benz vehicle sustained minor damage. There were no reported injuries to any of the occupants.",
30270-9926,2,Waymo LLC,10-Day Update,,,FEB-2025,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,c78603b93164de4,17992, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,14:00, ,3b8990bdb26fdf0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,20, ,Daylight,Y, , , , , , , ,,SUV,Minor,No,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Proceeding Straight,No,No,Yes,1, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on February[XXX], 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On February [XXX], 2025 at 2:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX].
The Waymo AV was stopped in the center lane on [XXX] at a red traffic light at the intersection with [XXX]. When the light turned green, the Waymo AV began to proceed forward slowly, yielding to a pedestrian that was crossing the intersection outside of the crosswalk. While the Waymo AV was yielding, an SUV traveling directly behind the Waymo AV began to proceed forward, and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Neither vehicle sustained damage. On February 12, 2025, Waymo received an allegation of a minor injury from the passenger of the Waymo AV.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
