Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-9987,1,Waymo LLC,1-Day,,,FEB-2025,SADHW2S18M1, ,N/A,Jaguar,I-PACE, ,2021, ,9b58c96904cb338,162334, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,12:10, ,45b81f06862d85c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,Minor,Unknown,Proceeding Straight,,, , , , , , , , , , , ,Parked,No,No,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y, , , ,Yes,SFPD, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On February [XXX], 2025 at 12:10 PM PT two Waymo Autonomous Vehicles (Waymo AVs) operating in San Francisco, CA were involved in a collision involving a cyclist on [XXX].
The first Waymo AV was parked at the northwest-bound curb on [XXX] for passenger dropoff. A second Waymo AV (2024 Jaguar I-PACE SADHW2S17R1[XXX], 38,609 miles) was also parked for a separate passenger dropoff, located adjacent to the first Waymo AV with the bicycle lane of northwest-bound [XXX] between the two Waymo AVs. A bicyclist was traveling northwest-bound on [XXX] and approaching the two Waymo AVs from the rear. As the cyclist was passing between the two Waymo AVs, the rear driver side passenger of the first Waymo AV opened the door of the first Waymo AV into the cyclist. The cyclist then fell into the passenger side of the second Waymo AV. At the time of the impact, both Waymo AVs' Level 4 ADS were engaged in autonomous mode. Neither Waymo AV sustained damage. The cyclist was able to move out of the roadway independently and was then transported from the scene in an ambulance. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9287,2,Waymo LLC,10-Day Update,,,DEC-2024,SADHW2S17R1, ,N/A,Jaguar,I-Pace, ,2024, ,77dcefb2295481e,23149, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,10:54, ,0fa98029f8f1cef,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",Unknown,Unknown,NM in Roadway - Other,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,No Passengers in Vehicle,16, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"Other than confirmation that law enforcement is not investigating this incident, the content of this report is unchanged from the initial report submitted on December 6, 2024 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On December [XXX], 2024 at 10:54 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a plastic crate on [XXX] at [XXX].
The Waymo AV was traveling westbound in the center lane on [XXX], crossing the intersection with [XXX] when the front passenger side of the Waymo AV made contact with a plastic crate that was in the roadway within the Waymo AV's lane of travel. The contact with the Waymo AV caused the crate to move into the adjacent right lane, which was occupied by a scooterist. The front tire of the scooter made contact with the crate and the scooter and scooterist fell. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Given the speed at which the scooter was traveling at the time of the contact, the scooter may have sustained damage. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
33175-9306,1,Mobileye Vision Technologies,Monthly,11,2024,DEC-2024,,Y,,Volkswagen,ID.Buzz, ,2023, , ,,Y,In-Vehicle (Commercial / Test),,Y, ,,Y, ,,Y, ,"Volkswagen Group of America, Inc.", , ,,,Y, ,Unknown,,Yes,ADS,ADMT- VWGoA, , , , , , , ,Y,Volkswagen,FEB-2024, ,NOV-2024,11:20, , ,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,,Y,Intersection,Dry,No Unusual Conditions,40, ,Daylight, , , , , , ,Y, ,,Passenger Car,No Injuries Reported,Unknown,Proceeding Straight,Unknown,Unknown, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , , , , ,Y, , , , , , , , , , , ,Y,Unknown,,Y,Unknown,,Y,,Y,,Y,"Unknown, see Narrative", ,"On MAR-2024, Volkswagen Group of America, Inc. (""VW"") filed an Incident Report (NHTSA-provided Report ID-1420-7244 - the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""SGO""). The subject vehicle referred to in the Report contains the Reporter's  software and hardware. Since the Reporter is also a Reporting Entity under the SGO, the Reporter hereby submits this report. In order to avoid duplications and additional CBI requests, this submission includes the publicly available information of the Report and incorporates the Report by reference. This submission is based on the information provided to the Reporter by VW. The Reporter currently believes that it has no independent knowledge of the information in this report.
From Volkswagen:
The subject vehicle was stopped at the intersection of [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] and [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] with the ADS system engaged, waiting for the traffic light to turn green. The passenger car (Toyota Tacoma, equipped with front grille/brush guard) approached from behind, honked the horn, and struck the stationary subject vehicle. The driver of the subject vehicle proceed through the intersection and pulled over into an empty parking lot to safely assess the incident. The passenger car is noted as remaining at the light for an additional cycle of the traffic light before driving off and not pulling over with the vehicle it just struck. The subject vehicle's 3 occupants reported feeling the impact but report no injuries, airbag deployments, or tow-aways. The subject vehicle's damage was to the right rear bumper, including the right rear sensor and mounting bracket.",
33175-9307,1,Mobileye Vision Technologies,Monthly,11,2024,DEC-2024,,Y,,Volkswagen,ID.Buzz, ,2023, , ,,Y,In-Vehicle (Commercial / Test),,Y, ,,Y, ,,Y, ,"Volkswagen Group of America, Inc.", , ,,,Y, ,Unknown,,Yes,ADS,ADMT- VWGoA, , , , , , , ,Y,Volkswagen,JAN-2024, ,NOV-2024,09:00, , ,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,,Y,Intersection,Dry,No Unusual Conditions,35, ,Daylight, , , , , , ,Y, ,,Passenger Car,No Injuries Reported,Unknown,Proceeding Straight,Unknown,Unknown, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , ,Y, , , , , , , , , , , ,Y,Unknown,,Y,Unknown,,Y,,Y,,Y,"Unknown, see Narrative", ,"On FEB-2024, Volkswagen Group of America, Inc. (""VW"") filed an Incident Report (NHTSA-provided Report ID-1420-7081- the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""SGO""). The subject vehicle referred to in the Report contains the Reporter's  software and hardware. Since the Reporter is also a Reporting Entity under the SGO, the Reporter hereby submits this report. In order to avoid duplications and additional CBI requests, this submission includes the publicly available information of the Report and incorporates the Report by reference. This submission is based on the information provided to the Reporter by VW. The Reporter currently believes that it has no independent knowledge of the information in this report.
From Volkswagen:
The subject vehicle was stopped at a traffic light at the corner of [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] and [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] (Austin,TX) while traveling westbound on [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]  While ADS was engaged, the subject vehicle was stationary, the passenger car behind the subject vehicle proceeded forward from a stationary position and bumped into the rear bumper of the subject vehicle.  The passenger vehicle reversed away from the subject vehicle. The operator of the subject vehicle then turned on the hazard lights, proceeded through the intersection once the light changed to green and turned right onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] in order to check for a safe spot to park.  The passenger vehicle, after reversing away from the subject vehicle, did not follow the subject vehicle and instead proceeded to turn right onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. Once the operator pulled over they then followed protocol to call in the incident, took photos to document, and waited for manager and service to arrive at the scene to verify the damage. There were no known injuries, airbag deployments, or tow-away of anyone involved.  There was no significant damage to the subject vehicle and it was driven back to the depot to debrief and provide information to incident response team on the incident.",
30270-9295,1,Waymo LLC,1-Day,,,DEC-2024,SADHW2S13R1, ,N/A,Jaguar,I-Pace, ,2024, ,285acda21cb9800,10219, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,15:13, ,a4770372ceb27d6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Unknown,Proceeding Straight,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 3:13 PM PT, a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was involved in a collision with a bicyclist on [XXX] at [XXX].
The Waymo AV was traveling southeast on [XXX], signalling to pull over to the right and park alongside the curb, ahead of other parked vehicles, to perform a dropoff pullover. The Waymo AV yielded to a bicyclist approaching from behind and to the right, who subsequently made contact with the rear of the Waymo AV. The contact with the Waymo AV caused a scratch to the rear trunk panel of the Waymo AV. The bicyclist subsequently passed the Waymo AV on the right and left the scene.
At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-9287,1,Waymo LLC,1-Day,,,DEC-2024,SADHW2S17R1, ,N/A,Jaguar,I-Pace, ,2024, ,77dcefb2295481e,23149, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,10:54, ,0fa98029f8f1cef,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",Unknown,Unknown,NM in Roadway - Other,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,No Passengers in Vehicle,16, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,Unknown,,Y,Yes,,Y,,Y,,Y,Yes, ,"On December [XXX], 2024 at 10:54 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a plastic crate on [XXX] at [XXX].
The Waymo AV was traveling westbound in the center lane on [XXX], crossing the intersection with [XXX] when the front passenger side of the Waymo AV made contact with a plastic crate that was in the roadway within the Waymo AV's lane of travel. The contact with the Waymo AV caused the crate to move into the adjacent right lane, which was occupied by a scooterist. The front tire of the scooter made contact with the crate and the scooter and scooterist fell. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Given the speed at which the scooter was traveling at the time of the contact, the scooter may have sustained damage. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vulnerable road user was involved. Waymo may supplement or correct its reporting with additional information as it may become available.",
540-9211,2,"General Motors, LLC",10-Day Update,,,NOV-2024,5G21A6P02P4, ,N/A,Cruise,AV, ,2023, ,5965993ae229e16,7685, ,In-Vehicle (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,No,,Yes,ADS,Cruise LLC, , ,Y, ,Y,Y, , ,,NOV-2024, ,NOV-2024,19:23, ,92e33cb7fac29c6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Unknown,Passing,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,4, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,"Unknown, see Narrative", ,"On November 27, 2024, GM Cruise Holdings LLC (""Cruise"") filed a 10-Day Update Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April [XXX], 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-9204-2)",
30412-9204,2,Cruise LLC,10-Day Update,,,NOV-2024,5G21A6P02P4, ,N/A,Cruise,AV, ,2023, ,5965993ae229e16,7685, ,In-Vehicle and Remote (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"General Motors, LLC", , ,,, ,Y,No,,Yes,ADS,Cruise LLC, , ,Y, ,Y,Y, , ,,NOV-2024, ,NOV-2024,19:23, ,92e33cb7fac29c6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Unknown,Passing,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,4, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Cruise submits this updated report to confirm there was no physical contact between the AV and the cyclist and to provide additional details about this incident. On November [XXX], 2024 at 7:23PM CST, a Cruise autonomous vehicle (""AV"") operating in supervised autonomous mode in Houston, Texas was traveling west on [XXX] when it decelerated as it approached a speed bump. As the AV began to slowly traverse the speed bump, it maneuvered slightly left to provide room for a cyclist approaching from behind the AV on the right-hand side. As the cyclist approached quickly from behind the AV, they moved from the right side of the road to the left side and attempted to maneuver around the AV, between the AV and a parked vehicle. The cyclist then lost control of their bike while maneuvering the speed bump and fell to the ground in front of and to the left of the AV. The AV came to a complete stop and the Cruise safety driver took manual control of the AV, remaining stationary. The cyclist proceeded to get to their feet and spoke with the safety driver, but did not report any injuries when asked. There was no indication of property damage to the AV.",
540-9211,1,"General Motors, LLC",1-Day,,,NOV-2024,5G21A6P02P4, ,N/A,Cruise,AV, ,2023, ,5965993ae229e16,7685, ,In-Vehicle (Commercial / Test),,Y, ,,Y, ,,Y, ,Cruise LLC, , ,,, ,Y,No,,Yes,ADS,Cruise LLC, , ,Y, ,Y,Y, , ,,NOV-2024, ,NOV-2024,19:23, ,92e33cb7fac29c6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Unknown,Passing,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,4, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,"Unknown, see Narrative", ,"On November 19, 2024, GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-9204-1)",
30412-9204,1,Cruise LLC,1-Day,,,NOV-2024,5G21A6P02P4, ,N/A,Cruise,AV, ,2023, ,5965993ae229e16,7685, ,In-Vehicle and Remote (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"General Motors, LLC", , ,,, ,Y,No,,Yes,ADS,Cruise LLC, , ,Y, ,Y,Y, , ,,NOV-2024, ,NOV-2024,19:23, ,92e33cb7fac29c6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Unknown,Passing,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,4, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"On November [XXX], 2024 at 7:23PM CST, a Cruise autonomous vehicle (AV) operating in supervised autonomous mode in Houston, Texas was traveling west on [XXX] when it decelerated as it approached a speed bump. As the AV began to slowly traverse the speed bump, it maneuvered slightly left. A cyclist approached quickly from behind the AV and attempted to maneuver around the AV on the left-hand side between the AV and a parked vehicle. Based on the initial review, the cyclist then lost control of their bike while riding over the speed bump and fell to the ground in front of and to the left of the AV. The AV came to a complete stop and the Cruise safety driver took manual control of the AV, remaining stationary. Cruise has not confirmed that there was any physical contact between the AV and the cyclist. The cyclist proceeded to get to their feet and spoke with the safety driver, but did not report any injuries when asked. There was no indication of property damage to the AV.",
