Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30792-10691,1,WeRide Corp,5-Day,,,MAY-2025,1N4CZ1CV2PC, ,N/A,Nissan,Leaf, ,2023, ,caa76225bb77e79,27877, ,In-Vehicle and Remote (Commercial / Test),11b754c9b332280388f93e72b564a595c71f1e70, , ,1.6, , ,4.3, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVDT Permit,Yes,ADS,WeRide, , ,Y, ,Y, , , ,,MAY-2025, ,MAY-2025,14:23, ,c2cceca3c7e755a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Clara, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,No,Changing Lanes,No,No, , , , , , , ,Y,Y, , ,Proceeding Straight,No,Yes,Yes,45, , ,Y,Y, , , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"At 2:23pm:  WeRide driverless vehicle (vehicle 1) with a safety operator seated in front passenger seat, was travelling 45mph without much traffic ahead when a BMW x3 (vehicle 2) travelling in the adjacent left lane and in the same direction, merged into vehicle 1's left front quarter panel. Vehicle 1 and Vehicle 2 sustained moderate damages.
After discussing the incident with vehicle 2's driver, they admitted they were attempting to make an upcoming right turn off the expressway. They initiated 2 consecutive right lane changes abruptly before hitting vehicle 1 on their last attempted lane change.
After the initial impact, vehicle 1 was forced out of the initial lane, onto a divide, and ultimately came to a stop on the shoulder of the expressway. At this time both occupants of vehicle 1 and vehicle 2 were able to assess respective damages and exchange information. It was determined that there were no injuries. WeRide Vehicle (Vehicle 1) required a tow back to the facility.",
988-10802,1,PACCAR Incorporated,Monthly,5,2025,MAY-2025,1XPBD49X4RD, ,N/A,Peterbilt,579, ,2024, ,1029b2a7d8c28c9,120020, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,"Aurora Operations, Inc.", , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,APR-2025, ,APR-2025,15:57, ,b6f8c5a9a4cdd22,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Centerville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:57 PM CDT on April [XXX], an Aurora truck was traveling northbound on [XXX] in autonomy north of Centerville, TX. The Aurora truck encountered shreds of tire in the roadway. The left lane was blocked by another truck and not clear for the Aurora truck to merge away from the tire shreds. Per the company's protocol and when there is a vehicle operator providing supervision, the vehicle operator elected to disengage autonomy to navigate through the tire shreds. The vehicle operator pulled over to the shoulder to inspect the truck and found a torn air hose causing the air tanks to lose pressure. The vehicle operator drove to a nearby truck stop to enable the repair work to be completed. No injuries were reported.",
30530-10791,1,"Aurora Operations, Inc.",Monthly,5,2025,MAY-2025,1XPBD49X4RD, ,N/A,Peterbilt,579, ,2024, ,1029b2a7d8c28c9,120020, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, , ,, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Aurora Operations, Inc.", , ,Y, ,Y,Y, , ,,APR-2025, ,APR-2025,15:57, ,b6f8c5a9a4cdd22,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Centerville, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,65, , , ,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,No,, ,No,, ,, ,, ,Yes, ,"At approximately 3:57 PM CDT on April [XXX], an Aurora truck was traveling northbound on [XXX] in autonomy north of Centerville, TX. The Aurora truck encountered shreds of tire in the roadway. The left lane was blocked by another truck and not clear for the Aurora truck to merge away from the tire shreds. Per the company's protocol and when there is a vehicle operator providing supervision, the vehicle operator elected to disengage autonomy to navigate through the tire shreds. The vehicle operator pulled over to the shoulder to inspect the truck and found a torn air hose causing the air tanks to lose pressure. The vehicle operator drove to a nearby truck stop to enable the repair work to be completed. No injuries were reported.",
30634-10693,1,PlusAI Inc,5-Day,,,MAY-2025,1XKYDP9XXLJ, ,N/A,KENWORTH,T680, ,2020, ,c85cbc0da3b99a9,228000, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,, ,Y,,, ,Y,No,,Yes,ADS,"PLUSAI, INC", , , , , ,Y, , ,,MAY-2025, ,MAY-2025,11:47, ,f0ae0f1d67d9a27,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Oak Ridge North, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,"Other, see Narrative",65, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",No,Yes,Y,Y, , , , , , , , , ,"Other, see Narrative",No,No,Yes,53, , , , , , , , ,Y,Y, , ,Y,Y,Y, ,Y, , , ,Yes,Houston Police Department, ,Yes,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"On May [XXX], 2025, a Plus autonomous test truck was driving in autonomous mode on a public highway in Texas with a Safety Driver.  Plus's safety drivers are experienced and well-trained. The Safety Driver operating the particular vehicle has 12-years of over-the-road commercial vehicle driving experience. All safety drivers are trained to manage potential hazards they may encounter on the roads and are encouraged to retake control of the vehicle whenever necessary to ensure safe operation.  
Here, the Plus vehicle was traveling Northbound on [XXX] at approximately 63 mph in mild to moderate traffic with clear weather conditions.  According to the video camera log, the truck was in autonomous mode when a black SUV traveling in the right-most driving lane swerved to the right into the emergency lane (i.e., the shoulder) to avoid a vehicle that had stopped before it in the driving lane. Seeing the disabled vehicle in the driving lane, the Plus Safety Driver took control of the truck by applying the brakes and began to decelerate the vehicle. Two vehicles traveling behind the black SUV in the same lane then swerved to the left and into the lane in which the Plus vehicle was traveling.  The left side of the second of these vehicles (a minivan) made contact with the Plus truck's right side. [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]
The Plus truck swerved slightly into the lane to its left as a result of the contact, avoiding a pickup truck that was passing by it. The Safety Driver then re-centered the vehicle into the truck's original lane. After the contact, the minivan moved into the rightmost lane and then ultimately came to a stop in the emergency lane.  The Plus Safety Driver changed lanes and also brought the truck to a stop in the emergency lane.
A Police report was taken at the scene, but the Plus Safety Driver did not receive a copy of it.  Based on our best information, none of the passengers in the minivan reported injuries and the only damage was to the vehicle's driver-side tire.  The minivan nevertheless was towed away from the scene.  The Plus truck did not have any damage and was able to continue driving to its destination.",Y
30270-10558,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S15R1, ,N/A,Jaguar,I-Pace, ,2024, ,788a4eb8ba61f72,16934, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 10, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:32, ,5fbc5372ff3cbb0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Scottsdale, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,65, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 2:32 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a piece of metal debris on [XXX] ([XXX]) just before Exit [XXX] to [XXX]. 
The Waymo AV was traveling north on [XXX] when its front driver side tire made contact with a piece of metal debris in the roadway and immediately deflated. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
30391-10295,1,Kodiak Robotics,Monthly,3,2025,MAR-2025,1XKYD49X3PJ, ,N/A,Kenworth,T680, ,2023, ,c287a5f63edf401,52447, ,In-Vehicle (Commercial / Test),Candidate, , ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Candidate, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Kodiak Robotics, Inc.", , , , ,Y, , , ,,MAR-2025, ,MAR-2025,14:20, ,9fc2807aedfa970,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Odessa, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,Work Zone,55, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , , ,Y, , ,Proceeding Straight,No,No,Yes,54, , , ,Y, , , , , , , , ,Y, ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"On March [XXX] at approximately 2:20 PM CT, the passenger-side mirror of a lifted Ford F-350 with dual rear wheels made light contact with a Kodiak Driver-equipped autonomous trucks drivers side mirror. The Kodiak truck was Westbound on [XXX] between Midland and Odessa, Texas. The driver of the F-350 continued down the road without stopping. The Kodiak truck has been operating in manual mode for approximately 10 seconds prior to the incident.
The Kodiak safety driver pulled over at the next exit to inspect the vehicle and found minor surface abrasion on the drivers side mirror. There were no injuries reported, and no vehicles were towed from the scene.",
988-10265,1,PACCAR Incorporated,Monthly,3,2025,MAR-2025,1XKYD49X3PJ, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Kenworth,T680, ,2023, ,c287a5f63edf401,52447, ,In-Vehicle (Commercial / Test),Candidate, , ,, , ,, , ,Kodiak Robotics, , ,,, ,Y,No,,Yes,ADS,"Kodiak Robotics, Inc.", , ,Y, , , , , ,,MAR-2025, ,MAR-2025,14:20, ,9fc2807aedfa970,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Odessa, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,Work Zone,55, ,Daylight,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,Not Applicable,Not Applicable, , , , , , , ,Y, , , ,Proceeding Straight,No,No,Yes,54, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,No,, ,, ,, ,Yes, ,"On March [XXX] at approximately 2:20 PM CT, the passenger-side mirror of a lifted Ford F-350 with dual rear wheels made light contact with a Kodiak Driver-equipped autonomous trucks drivers side mirror. The Kodiak truck was Westbound on [XXX] Midland and Odessa, Texas. The driver of the F-350 continued down the road without stopping. The Kodiak truck has been operating in manual mode for approximately 10 seconds prior to the incident.
The Kodiak safety driver pulled over at the next exit to inspect the vehicle and found minor surface abrasion on the drivers side mirror. There were no injuries reported, and no vehicles were towed from the scene.",
30391-10111,1,Kodiak Robotics,Monthly,2,2025,MAR-2025,1XKYDP9X8LJ, ,N/A,Kenworth,T680, ,2020, ,fbd7a440e34169b,327663, ,In-Vehicle (Commercial / Test),Candidate, , ,Gen 3, , ,Candidate, , ,PACCAR Incorporated, , ,,, ,Y,No,,Yes,ADS,"Kodiak Robotics, Inc", , , , ,Y,Y, , ,,FEB-2025, ,FEB-2025,19:08, ,58ed5a4d4e93504,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Thackerville, ,OK ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,Work Zone,65, ,Dark - Unknown Lighting,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Proceeding Straight,No,No,Yes,56, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February 3 at 7:08 PM CT, a tractor-trailer encroached into the lane of a Kodiak Driver-equipped autonomous truck traveling Northbound on I-35 in Thackerville, Oklahoma. The truck's trailer made light contact with the Kodiak trucks drivers side mirror. The driver of the other tractor-trailer continued down the road without stopping.
No material property damage occurred, just surface abrasion to the drivers side mirror SensorPod. There were no injuries reported, and no vehicles were towed from the scene.",
30531-10010,1,Transdev Alternative Services,Monthly,1,2025,FEB-2025,SADHW2S16M1, ,N/A,Jaguar,I-PACE, ,2021, ,cdf78379297f7ce,216854, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,04:37, ,db8ad4a77a26bd8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,Unknown,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,64, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 4:37 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving debris on [XXX].
The Waymo AV was traveling eastbound on [XXX] in the rightmost lane, preparing to exit at [XXX] when a small piece of debris was propelled into the roadway and made contact with the front passenger side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present.  The Waymo AV sustained damage.
Transdev Alternative services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This is a duplicate of report ID [XXX].",
30270-9893,1,Waymo LLC,Monthly,1,2025,FEB-2025,SADHW2S16M1, ,N/A,Jaguar,I-PACE, ,2021, ,cdf78379297f7ce,216854, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JAN-2025, ,JAN-2025,04:37, ,db8ad4a77a26bd8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,Unknown,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,64, , , , , , ,Y, , ,Y,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On January [XXX], 2025 at 4:37 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving debris on [XXX]. 
The Waymo AV was traveling eastbound on[XXX] in the rightmost lane, preparing to exit at [XXX] when a small piece of debris was propelled into the roadway and made contact with the front passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
