Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10680,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S13R1, ,N/A,Jaguar,I-Pace, ,2024, ,356f5c95bf804e5,11411, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,22:07, ,2793db955371f40,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Passing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 10:08 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] and [XXX]. 
The Waymo AV was traveling northeast on [XXX] preparing to make a right turn, and stopped in the right lane at a green light at the intersection with [XXX], yielding to a passenger car stopped within the intersection traveling southeast on [XXX]. An SUV stopped directly behind the Waymo AV passed the Waymo AV on the left to make a left turn onto [XXX], and the rear passenger side of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10753,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S15R1, ,N/A,Jaguar,I-PACE, ,2024, ,e1e1265b959c710,54010, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,17:13, ,9f24abe73cfc948,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,1, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 5:13 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, CA was in a collision involving a SUV on [XXX] at [XXX]. 
The Waymo AV was traveling northbound on [XXX] and began to slow to a stop for a stop sign at the intersection at [XXX]. As the Waymo AV was coming to a stop, an SUV traveling directly behind the Waymo AV approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10749,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S19R1, ,N/A,Jaguar,I-PACE, ,2024, ,99b39c0fae9a593,16177, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,20:17, ,8ce026066e22e1f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,45, ,Dark - Lighted,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,No Passengers in Vehicle,0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 8:17 PM MST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing east on [XXX] in the rightmost lane for a red light at the intersection of [XXX]. While the Waymo AV remained stopped for the red light, a pickup truck approached the Waymo AV from behind and the front of the pickup truck made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10668,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S17R1, ,N/A,Jaguar,I-Pace, ,2024, ,52020cdc469756a,42349, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,10:41, ,f83f7c37e14f52b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, ,Y, , , , , , , , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 10:41 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing north at a red light on [XXX] with the left turn signal activated, preparing to make an unprotected left turn onto [XXX]. A pickup truck traveling eastbound on [XXX] made a right turn onto [XXX] and made contact with a passenger car parked facing south at the curb near the intersection with [XXX]. As the pickup truck maneuvered away from the passenger car and continued to proceed southbound on [XXX], the driver side of the pickup truck then made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The pickup truck sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10690,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S14R1, ,N/A,Jaguar,I-PACE, ,2024, ,09106b9119c28ba,7213, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,14:30, ,44aa78f82f08885,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Pickup Truck,Minor,Yes,"Other, see Narrative",No,No, , , ,Y, , , , , , , ,Stopped,No,No,Yes,0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,Yes,Los Angeles Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On April [XXX], 2025 at 2:30 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was traveling eastbound in the rightmost lane on [XXX] and came to a stop for a red light at the intersection with [XXX]. A passenger car that was towing a pickup truck directly in front of the Waymo AV stopped in the intersection and the pickup truck came loose from the passenger car. As the pickup truck rolled backwards in the Waymo AV's lane of travel, the Waymo AV reversed slightly and then came to a stop to yield to another passenger car directly behind the Waymo AV, and the rear of the pickup truck made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10761,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S18R1, ,N/A,Jaguar,I-Pace, ,2024, ,271b9c634174ea8,20956, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,18:39, ,8b9ce97c9287d1e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Passing,No,No, ,Y, , , , , , , , , ,Stopped,No,No,Yes,0, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 6:39 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped at a red light on westbound [XXX] preparing to make an unprotected left turn onto [XXX]. An SUV traveling westbound on [XXX] directly behind the Waymo AV maneuvered around the right side of the Waymo AV, and the driver side of the SUV made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10759,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S10R1, ,N/A,Jaguar,I-Pace, ,2024, ,ebda0b5465bb521,19197, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,17:47, ,c81082eafda6733,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,20, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Passing,No,No, , , , , , , ,Y, , , ,Stopped,No,No,Yes,0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"April [XXX], 2025 at 5:47 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing west in the left turn lane on [XXX] at a green traffic light at the intersection with [XXX], yielding to vehicles on [XXX] that were stopped within the intersection. While the Waymo AV remained stopped, a pickup truck stopped directly behind the Waymo AV proceeded to maneuver around the stationary Waymo AV on the left and the passenger side of the pickup truck made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10754,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S13R1, ,N/A,Jaguar,I-PACE, ,2024, ,356f5c95bf804e5,13406, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,20:48, ,09e260ff04fde7e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Bus,No Injuries Reported,Yes,Making Left Turn,No,No, ,Y, , , , , , , , , ,Stopped,No,No,"No, see Narrative",0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,Yes, ,"On April [XXX], 2025 at 8:48 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a bus on [XXX] at [XXX]. 
The Waymo AV was stopped facing south on [XXX] for a stop sign at the intersection with [XXX] when a bus that was traveling eastbound on [XXX] proceeded to turn left onto [XXX]. As the bus was completing its left turn, the bus crossed the center double yellow line and the driver side of the bus made contact with the driver side of the Waymo AV. Three of the four passengers seated in the Waymo AV were not belted at the time of the collision, having not put the seat belt on at the start of the trip. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10598,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S18R1, ,N/A,Jaguar,I-PACE, ,2024, ,da69575f49afa36,21570, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,07:34, ,9f11231e2068dc2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Wet,No Unusual Conditions,30, ,Daylight, , , , ,Y, , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,No Passengers in Vehicle,0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 7:34 AM CST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing east in the right turn lane on [XXX] for a red traffic light at the intersection with [XXX]. The Waymo AV began to slowly proceed forward and came to a stop to gain visibility of oncoming traffic traveling southbound on [XXX] in preparation for a right turn on red. A passenger car, which was initially stopped directly behind the Waymo AV, proceeded forward and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-10601,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S10M1, ,N/A,Jaguar,I-PACE, ,2021, ,d707cc85570e9d9,194358, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,00:22, ,b9dd6d9b3dc26fd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 12:22 AM MST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling westbound on [XXX] and came to a stop for a red light at the intersection at [XXX].  A passenger car approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
