Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30413-8306,1,May Mobility,Monthly,7,2024,AUG-2024,5TDYRKEC7PS, ,N/A,Toyota,Sienna, ,2022, ,edae6220ea28192,11837, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JUL-2024, ,JUL-2024,12:57, ,6f3f2cc44536bfa,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Miami, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,No,Proceeding Straight,No,No, , , , , ,Y, , ,Y, , ,Changing Lanes,No,No,Yes,15, ,Y,Y,Y,Y, , , , , , , , ,Y, , , , , , ,Yes,Miami Police Department, ,No,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"The May vehicle is approaching a lane change. It signals the lane change appropriately early and begins to gradually decelerate for the change. The trailing SUV continues to accelerate while the May vehicle is simultaneously decelerating, and eventually changes lanes directly into the May vehicle. Trailing SUV drives away without slowing meaningfully, disappearing around an upcoming turn. May vehicle deceleration never exceeds -1.3m/s2, so there is no plausible reason a responsible driver would not have had adequate time to adjust their speed or path to avoid a collision.",
30413-8305,1,May Mobility,Monthly,7,2024,AUG-2024,5TDYRKEC3PS, ,N/A,Toyota,Siennaa, ,2022, ,02898e6342da9fa,10326, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JUL-2024, ,JUL-2024,08:40, ,21c0dd086884a6c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Miami, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,No,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , ,Y, , , , , , ,No,, ,No,, ,, ,, ,Yes, ,"May vehicle was waiting at the red light of [XXX] and [XXX]. The May vehicle was stopped and was 2nd behind the stop line. The van behind the May vehicle was also stopped. Van driver removed their foot from the brake pedal, idling into the May vehicle at a low rate of speed.",
30413-8218,1,May Mobility,1-Day,,,JUL-2024,5TDYRKEC3NS, ,N/A,Toyota,Sienna, ,2022, ,9f25406284e8751,15976, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JUL-2024, ,JUL-2024,13:57, ,7077c9c68260af9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Miami, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,No,Crossing into Opposing Lane,,, , , , , , , , , , , ,Stopped,No,No,Yes,0, , , ,Y, , , , , , , , , , , , ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"May vehicle was parked in autonomous mode at a rider stop when a VRU on a bicycle approached from the north, coming towards the vehicle. Bicycle was on the wrong side of the road and appeared to be weaving. There were no other vehicles nearby and the bicycle had significant room to avoid the May vehicle. However, the bicyclist came into contact with the driver side of the May vehicle, resulting in some minor damage to the May vehicle. After contact, the bicyclist appeared uninjured, got up and left the scene on the bicycle.",
30490-8091,1,"Beep, Inc.",Monthly,6,2024,JUL-2024,1L90LL124KT, ,N/A,Local Motors (LOCM),Olli 2.0 Shuttle, ,2020, ,3233ad5b9942f58,7394, ,"Other, see Narrative","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Oxbotica, , ,Part 591 Exemption granted by permission letter from NHTSA,, , ,No,,Yes,ADS,"Beep, Inc", , , , ,Y, , , ,,JUN-2024, ,JUN-2024,13:57, ,92b7354aa48b3bd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Jacksonville, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,No,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,"No, see Narrative",0, , , , , , , , , ,Y, , , ,Y,Y, ,Y,Y, , ,Yes,JACKSONVILLE SHERIFF'S OFFICE, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"At approximately 1:57 PM EDT on June [XXX], 2024, the Beep-operated Olli 2.0 shuttle with VIN 1L90LL124KT[XXX] (Olli 2.05) was involved in a minor, non-injury collision with a commercial vehicle. While navigating through a parking lot on the [XXX] of [XXX] campus, the shuttle encountered a commercial vehicle (van) backing out of a parking space. The shuttle came to a complete stop under autonomous control. While the shuttle was stopped in its lane on the designated route, the commercial vehicle continued to back out of the parking space, subsequently making light contact with the shuttle. The commercial vehicle left the scene without stopping. There were no passengers onboard at the time of the incident. 
[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
33475-8060,1,Oxbotica,Monthly,6,2024,JUL-2024,1L90LL124KT, ,N/A,Local Motors,Olli 2.0, ,,Y,3233ad5b9942f58,,Y,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"Beep, Inc.", , ,Part 591 Exemption granted by permission letter from NHTSA,, , ,No,,Yes,ADS,"Beep, Inc.", , , , ,Y, , ,Y,Notification from operator (Beep),JUN-2024, ,JUN-2024,13:51, ,92b7354aa48b3bd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Jacksonville, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,No,Backing,No,No, , , , , , ,Y, , , , ,Stopped,No,No,No Passengers in Vehicle,0, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,Unknown,,Y,Yes,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
30413-7880,1,May Mobility,Monthly,5,2024,JUN-2024,5TDYRKEC0MS, ,N/A,Toyota,Sienna, ,2022, ,ab0fa81ec7387bb,11254, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,MAY-2024, ,MAY-2024,17:05, ,16eb59076e0f085,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Miami, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Motorcycle,No Injuries Reported,No,Proceeding Straight,No,No, , , , , , , , ,Y, , ,Stopped,No,No,Yes,0, , , ,Y, , , , , , , , , , , , ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"While in traffic and stopped at 0mph in autonomy, a motorized scooter riding between the 2 lanes of traffic clipped the May Mobility vehicle's mirror with their own mirror. The scooter proceeded along its way, seemingly unaware of the mirror clip.",
30413-7704,1,May Mobility,Monthly,4,2024,MAY-2024,5TDYRKEC7PS, ,N/A,Toyota,Sienna, ,2022, ,edae6220ea28192,8838, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,APR-2024, ,APR-2024,11:35, ,6cc2c65c334671d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Miami, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,"Other, see Narrative",30, ,Daylight,Y, , , , , , , ,,Van,No Injuries Reported,No,Making Left Turn,No,No, , ,Y, , , , , , , , ,Proceeding Straight,No,No,Yes,5, ,Y, , , , , , , , , , , ,Y, , , , , , ,No,, ,No,, ,, ,, ,Yes, ,"The May vehicle was traveling through an intersection with a van in the oncoming left turn lane. As the May vehicle enters the intersection, the van creeps towards its turn.  Predicting that the two will get too close, the May vehicle elects to stop hard. As vehicle is coming to a stop in the stop-hard policy, the turning van fails to respond in time and collides with the rear left corner of the vehicle.
In the new software, deploying within the next month, agent-proximity has been replaced with agent-clearance. Performing resimulations of the incident with the latest branch verifies that this issue does not persist.",
30490-6821,1,"Beep, Inc.",Monthly,11,2023,DEC-2023,VG9A2CB2CJV, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Navya,ARMA, ,2020, ,166df047b432dec,,Y,In-Vehicle (Commercial / Test),7.3.1, , ,,Y, ,7.3.1, , ,NAVYA Inc., , ,Other Federal Exemption or Exception (specify below),NHTSA BOX-7 , , ,No,,Yes,ADS,Beep Inc., , ,Y,Y,Y, , , ,,NOV-2023, ,NOV-2023,11:02, ,528bba0c1e9460a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Orlando, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Bus,No Injuries Reported,Yes,Making Right Turn,No,No, , , , , , ,Y,Y, , , ,Making Left Turn,No,Yes,Yes,6, , , ,Y, , ,Y, , , , , , ,Y,Y, ,Y, , , ,Yes,Orlando Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,Yes, ,"At approximately 11:02 a.m. on Saturday, November [XXX], 2023, at [XXX] near [XXX] in the City of Orlando, a Beep-operated autonomous shuttle (P139) was involved in a collision with a City of Orlando LYNX bus resulting in moderate damage to the shuttle and minor damage to the Lynx bus. There were no injuries reported. Local police responded to the scene and conducted a traffic investigation. The Beep shuttle was towed from the scene for transport to the maintenance facility. The LYNX bus did not require towing and drove from the scene.
Monthly update to previously submitted report 30490-6590-1.",
30490-6590,1,"Beep, Inc.",5-Day,,,NOV-2023,VG9A2CB2CJV, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Navya,ARMA Autonom, ,,Y,166df047b432dec,,Y,In-Vehicle (Commercial / Test),Navya Drive, , ,,Y, ,7.3.1, , ,NAVYA Inc., , ,Other Federal Exemption or Exception (specify below),Box7, , ,Yes (specify below),FL DMV Registration,Yes,ADS,"Beep, Inc.", , ,Y,Y,Y, , , ,,NOV-2023, ,NOV-2023,11:02, ,528bba0c1e9460a,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Orlando, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Bus,No Injuries Reported,Yes,Making Right Turn,No,No, , , , , , ,Y, , , , ,Making Left Turn,No,Yes,Yes,6, , , ,Y, , , , , , , , ,Y,Y,Y, ,Y, , , ,Yes,City of Orlando Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,Yes, ,"At approximately 11:02 a.m. on Saturday, November [XXX], 2023, at [XXX] near [XXX] in the City of Orlando, a Beep-operated autonomous shuttle (P139) was involved in a collision with a City of Orlando LYNX bus resulting in moderate damage to the shuttle and minor damage to the Lynx bus. There were no injuries reported. Local police responded to the scene and conducted a traffic investigation. The Beep shuttle was towed from the scene for transport to the maintenance facility. The LYNX bus did not require towing and drove from the scene.",
30490-6360,1,"Beep, Inc.",Monthly,8,2023,SEP-2023,VG9A2CB2CJV, ,N/A,Navya,Arma Autonom DL, ,,Y,a7eb56f196c0118,,Y,In-Vehicle (Commercial / Test),,Y, ,,Y, ,,Y, ,NAVYA Inc., , ,Other Federal Exemption or Exception (specify below),Box-7, , ,No,,Yes,ADS,"Beep, Inc.", , , , ,Y, , , ,,AUG-2023, ,AUG-2023,13:54, ,8910341f6eceb78,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Orlando, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,"Other, see Narrative",25, ,Daylight,Y, , , , , , , ,,Bus,No Injuries Reported,No,Merging,Unknown,No, , , , , , ,Y,Y, , , ,Proceeding Straight,No,No,Yes,9, , , ,Y, , , , , , , , , ,Y,Y, ,Y,Y, , ,Yes,Orlando Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"At Approximately 12:39 PM, the Beep Command Center (BCC) informed the LYNX dispatch center that another autonomous shuttle operating on the same route (VIN: VG9A2CB2CJV[XXX]) was being taken out of service due to insufficient battery charge to continue operation. The BCC later informed LYNX dispatch at 12:49PM that the second shuttle operating on route, P131, would also be returning to storage after the operator completed its current loop. At Approximately 12:52 PM, P131 approached the [XXX] stop within the designated Bus Rapid Transit (BRT) operating lane. The shuttle remained stopped for approximately two (2) and a half minutes while three (3) passengers alighted, and two (2) additional passengers boarded the shuttle. During that period, approximately two (2) minutes after stopping to service passengers, a LYNX bus pulled behind P131. Approximately thirty (30) seconds later, the LYNX bus exited the BRT lane and proceeded into the public travel lane alongside the BRT lane. As the LYNX bus entered the public travel lane, the safety driver onboard P131 engaged the autonomous drive system, and the shuttle proceeded in the BRT lane. After both vehicles had begun moving, P131 in the BRT lane and the LYNX bus in the public travel lane, the LYNX bus reentered the BRT lane encroaching on the shuttles path. The bus failed to provide adequate clearance and contacted the left front side of P131. Both vehicles stopped in the BRT lane after the collision. 
Within five (5) minutes of the collision, all passengers had safely alighted from the shuttle with no reported injuries and left the scene without giving statements. At approximately 2:20PM, the City of Orlando Police Department (OPD) arrived on scene to investigate the incident. Beep and LYNX supervisors were on scene to support the investigation. OPD collected statements from both the Beep safety driver and LYNX bus driver. The LYNX supervisor provided OPD access to the LYNX bus camera footage on scene, at which point the investigating officer made a verbal indication that the LYNX bus driver appeared to be at fault for the collision. 
Beeps safety driver was subsequently subjected to a standard post-collision drug and alcohol screening. 
1.The safety driver did not exhibit complete situational awareness and per their after-incident interview, failed to notice the bus prior to departing the station. Had the attendant continued to look and check behind/alongside P131 prior to departing the station,
the collision may have been avoided.
2.The safety driver attempted to stop the shuttle by disengaging the ADS using the HMI rather than using the emergency stop button. Use of the emergency stop would have increased the deceleration rate to 5 m/s2, decreasing the stopping distance of the shuttle. However, it is not clear whether use of the emergency stop would have fully avoided the collision given the point at which the LYNX LYMMO bus entered the BRT lane.
3.Deficiencies in the standard operating procedures (SOP) between LYNX and Beep allowed for a bus to be deployed onto the service at the same time as P131. Beep communicated to LYNX that both shuttles were exiting the service area. However, LYNX did not wait for final confirmation that both vehicles had left the route prior to dispatching the LYMMO bus involved in the incident, nor did LYNX notify Beep that a bus had been dispatched.
Additional information available upon request.",
