Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-10561,1,Waymo LLC,Monthly,4,2025,MAY-2025,SADHW2S16R1, ,N/A,Jaguar,I-PACE, ,2024, ,a73af3aabb5cf29,31294, ,None,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,APR-2025, ,APR-2025,22:41, ,19b3e103282a660,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,No Passengers in Vehicle,5, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April[XXX], 2025 at 10:41 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a traffic control gate arm on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop behind a passenger car that had stopped for a closed traffic control gate arm. While the Waymo AV remained stopped, the gate arm rose to allow the passenger car to pass through. After the passenger car had passed through the gate, the Waymo AV began to proceed through the open gate when the gate arm lowered and made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30413-10763,1,May Mobility,Monthly,4,2025,MAY-2025,5TDYRKEC2RS, ,N/A,Toyota,Sienna, ,2024, ,c61027d6b726b73,8971, ,In-Vehicle (Commercial / Test),3, , ,5.2, , ,test-atl-4.19-experimental, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,APR-2025, ,APR-2025,8:55, ,6f14fafb6b8706a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Parked,No,No, ,Y, , ,Y, , , , , , ,Proceeding Straight,No,No,Yes,13, , , , , ,Y, , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"Manual control was initiated by a May autonomous shuttle operator for a right turn onto [XXX] in Atlanta, GA.  Autonomous mode was then engaged.  The autonomous system executed a stop due to a narrow passage obstructed by parked vehicles on both sides of the roadway and an approaching vehicle.  Following the departure of the first vehicle and the next oncoming vehicle 80m away, the Autonomous Vehicle Operator (AVO) disengages and proceeds in manual.  The AVO overcorrects to the right slightly and a minor contact with the parked car's mirror occurs.  Our team looked at the incident and determined that this event was caused by human error - no autonomy software defects led to this incident.",
30531-10293,1,Transdev Alternative Services,Monthly,2,2025,MAR-2025,SADHW2S13R1, ,N/A,Jaguar,I-PACE, ,2024, ,9df799516bace2a,36281, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,, , ,Waymo LLC, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,16:13, ,eb89a7c26f836d3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight, , ,Y, , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , , , , , , , ,Making Left Turn,No,No,Yes,2, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 4:13 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving an SUV on [XXX] at [XXX].
The Waymo AV was stopped at a red light in the far left turn lane on westbound [XXX] preparing to make a protected left turn onto [XXX]. As the light at [XXX] turned green, the Waymo AV began to advance through the intersection and came to a stop for a van that was blocking the intersection. While the Waymo AV remained stopped, the front driver side of an SUV in the process of turning left onto [XXX] from the second from the left lane made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The SUV sustained damage.
This is a duplicate of report ID 30270-10148-1.",
30270-10148,1,Waymo LLC,Monthly,2,2025,MAR-2025,SADHW2S13R1, ,N/A,Jaguar,I-PACE, ,2024, ,9df799516bace2a,36281, ,In-Vehicle and Remote (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,,Y, ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,16:13, ,eb89a7c26f836d3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight, , ,Y, , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , , , , , , , ,Making Left Turn,No,No,Yes,2, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 4:13 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving an SUV on [XXX]. 
The Waymo AV was stopped at a red light in the far left turn lane on westbound [XXX] preparing to make a protected left turn onto [XXX].  As the light at [XXX] turned green, the Waymo AV began to advance through the intersection and came to a stop for a van that was blocking the intersection.  While the Waymo AV remained stopped, the front driver side of an SUV in the process of turning left onto Piedmont Avenue from the second from the left lane made contact with the rear passenger side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30413-9958,1,May Mobility,Monthly,1,2025,FEB-2025,5TDYRKEC2RS, ,N/A,Toyota,Sienna, ,2024, ,c61027d6b726b73,9469, ,In-Vehicle (Commercial / Test),3, , ,5.2, , ,23.1.5, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JAN-2025, ,JAN-2025,09:28, ,f73e7dccf40f38d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Peachtree Corners, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,,Y,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Making Right Turn,No,No,Yes,7, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A May shuttle began a test shift on experimental software in a parking sub-lot. The vehicle exited the sub-lot and rolled over a curb. The vehicle stopped at a stop sign at the exit of the main lot. As it proceeded to turn onto the main road, it rolled over another curb. Almost immediately after rolling the curb, the vehicle began to drift right in lane, rubbing the vehicle sidewall on a curb. The test driver intervened immediately, but not before the sidewall of the rear right tire was weakened. Later during the drive while under manual control, the sidewall fails, eventually leading to a low pressure indicator illuminating in the dash. It was discovered that the deployment of map files, which must remain compatible, was incomplete, leaving a mismatch in the system. This resulted in the vehicle having an incorrect estimate of where lanes are in the coordinates of our localization map, and as a result, the vehicle had an incorrect estimate of proximity to lane boundaries, resulting in curb strikes.",
30531-9697,1,Transdev Alternative Services,Monthly,12,2024,JAN-2025,SADHW2S14R1, ,N/A,JLR,I-PACE, ,2024, ,0380b55f7b6e3f4,32595, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,17:48, ,c36f348e47b1a50,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dawn / Dusk, , ,Y, , , , , ,,"Other, see Narrative",Moderate,No,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Making Left Turn,No,No,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 5:48 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia made contact with the pavement at the elevated entrance to [XXX] near [XXX].
The Waymo AV was traveling south on [XXX] when it approached [XXX] ahead on its left.  As the Waymo AV turned left onto [XXX], the Waymo AV's undercarriage made contact with the raised pavement of the side walk where [XXX] meets [XXX].  At the time of the contact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  The test driver in the Waymo AV reported a moderate injury.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This is a duplicate of NHTSA Report ID 30270-9597-1.",
30270-9597,1,Waymo LLC,Monthly,12,2024,JAN-2025,SADHW2S14R1, ,N/A,JLR,I-PACE, ,2024, ,0380b55f7b6e3f4,32595, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,17:48, ,c36f348e47b1a50,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dawn / Dusk, , ,Y, , , , , ,,"Other, see Narrative",Moderate,No,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Making Left Turn,No,No,Yes,8, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 5:48 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia made contact with the pavement at the elevated entrance to [XXX]. near [XXX].  
The Waymo AV was traveling south on [XXX] when it approached [XXX] ahead on its left. As the Waymo AV turned left onto [XXX], the Waymo AV's undercarriage made contact with the raised pavement of the side walk where [XXX] meets [XXX]. At the time of the contact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The test driver in the Waymo AV reported a moderate injury.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30413-8861,1,May Mobility,Monthly,9,2024,OCT-2024,5TDYRKEC3RS, ,N/A,Toyota,Sienna, ,2022, ,12b7d35729a047b,500, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,SEP-2024, ,SEP-2024,09:06, ,1d5d2a8518e3fca,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Peachtree Corners, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Daylight,Y, , , , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,30, , , , , , , , , ,Y, , , , , , , ,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"A May autonomous vehicle was traveling in the right lane of a two-lane road, maintaining a steady speed of 30 mph, in compliance with the posted speed limit. The road was characterized by light traffic, with a slight curvature that transitioned from a gentle rightward sway to a leftward sway. As the vehicle navigated this transition of curvature, the May vehicle made contact with the curb, causing a flat tire. 
At the time of the incident, no other vehicles or pedestrians were present in the immediate vicinity, and there were no external factors such as obstructions or adverse weather conditions influencing the vehicles path.
Speed was reduced from 30mph to 25mph after this event and tested (and worked to mitigate the problem in that area) and now will be reduced to 22 which is the sweet spot for most areas on the route. The May vehicle chose to maneuver at the curb due to perceived risk from a car in an adjacent lane, so May is increasing the allowed distance to the curb to mitigate how close the vehicles are allowed to get.",
30531-8448,1,Transdev Alternative Services,5-Day,,,AUG-2024,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,a17640abc7498b1,20049, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Waymo LLC, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,AUG-2024, ,AUG-2024,07:15, ,8d5de51bc775cac,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,"Other, see Narrative",25, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,Unknown,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,23, , , , , ,Y, , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2024 at 7:15 AM EDT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a fallen utility line on [XXX] near [XXX].
The Waymo AV was traveling eastbound on [XXX] when the front of the Waymo AV made contact with a fallen utility line hanging from a utility pole on the right edge of the roadway into the travel lane and laying on the ground across the left half of the roadway.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver's seating position.  The Waymo AV sustained damage from contact with the non-live line.
Transdev Alternative Services is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away.  Transdev may supplement or correct it resporting with additional information as it may become available.  This is a duplicate of report ID 30270-8443-1.",
30270-8443,1,Waymo LLC,5-Day,,,AUG-2024,SADHW2S14R1, ,N/A,Jaguar,I-Pace, ,2024, ,a17640abc7498b1,20049, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,5th Generation, , ,Version 9, , ,Transdev Alternative Services, , ,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,AUG-2024, ,AUG-2024,07:15, ,8d5de51bc775cac,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Atlanta, ,GA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,"Other, see Narrative",25, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,Unknown,Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,23, , , , , ,Y,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2024 at 7:15 AM EDT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a fallen utility line on [XXX] near [XXX].
The Waymo AV was traveling eastbound on [XXX] when the front of the Waymo AV made contact with a fallen utility line hanging from a utility pole on the right edge of the roadway into the travel lane and laying on the ground across the left half of the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver's seating position. The Waymo AV sustained damage from contact with the non-live line.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",
