Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30413-10764,1,May Mobility,Monthly,4,2025,MAY-2025,5TDYRKEC8RS, ,N/A,Toyota,Sienna, ,2024, ,9c5785705dc5d3c,4345, ,In-Vehicle (Commercial / Test),3, , ,5.2, , ,23.2.12, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , ,Y, ,Y, , , ,,APR-2025, ,APR-2025,8:33, ,6788b2ddc444d5b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,40, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , ,Y,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A May autonomous shuttle (ego) was stopped at a traffic light in autonomous mode. A vehicle approaching from behind coasted into the ego vehicle. Our system responded with a software Health Drop, which immediately took the ego out of autonomous mode (for safety).
Minor damage was reported to our rear sensor and bumper.",
30413-10762,1,May Mobility,Monthly,4,2025,MAY-2025,5TDYRKEC2PS, ,N/A,Toyota,Sienna, ,2023, ,ceebe6bc6835051,17986, ,In-Vehicle (Commercial / Test),3, , ,4.5, , ,23.2.11.1, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,APR-2025, ,APR-2025,11:28, ,c49c24770dd5ae0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Detroit, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,,Y,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Stopped,No,No, , , , , ,Y, , , , , ,Backing,No,No,Yes,1, , , , ,Y, , , , , , , , ,Y,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A large semi-trailer truck is making a left turn from a street on the right into the oncoming lane in Detroit, MI.  As the May autonomous shuttle (Ego) is slowing, the Autonomous Vehicle Operator (AVO) intervenes to stop earlier.  The manually controlled Ego remains stationary for five seconds.  The AVO then manually reverses two meters to create more space for the trailer intruding into the Egos lane, making contact with a rear vehicle at 0.6 m/s.  Our team looked at the incident and determined that this event was caused by human error - no autonomy software defects led to this incident.",
30413-9949,1,May Mobility,Monthly,1,2025,FEB-2025,5TDYRKEC4RS, ,N/A,Toyota,Sienna, ,2024, ,4c85884484f99f3,2767, ,In-Vehicle and Remote (Commercial / Test),3, , ,5.2, , ,23.1.10, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y, , , ,,JAN-2025, ,JAN-2025,12:34, ,50b8e1c5db49055,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,30, ,Daylight, , , , ,Y, , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , ,Y,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"The May vehicle was involved in a rear-end collision shortly after completing a right-hand turn. As the vehicle proceeded through its turn, it encountered exhaust fumes from vehicles waiting at a stoplight in the adjacent lane. Due to environmental conditions and sensor limitations, the vehicle's lidar system interpreted the exhaust plume as a solid object in its path. In response, the autonomous vehicle first tried to adjust its position. When this maneuver proved insufficient, the system initiated a hard stop response. The vehicle behind, which was following at approximately 7-8 meters, was unable to stop in time and collided with the rear of the autonomous vehicle. The collision occurred at relatively low speeds (the autonomous vehicle had decelerated from approximately 7.6 m/s to 0 m/s), though exact impact speeds of the following vehicle were not recorded. The primary factor that led to this incident is that Lidar does not pierce through exhaust so the exhaust cloud appears to be a large, solid object. Some corrective actions that will be implemented: consider weather implication in future platform sensor selection and continue working on the software to improve a neural network to classify lidar points, which will use temporal information, radar, and camera features to make a decision on whether a lidar point is truly an object.",
753-7780,2,"Kia America, Inc.",10-Day Update,,,JUN-2024,5XYK4CAF2PG, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],KIA,SPORTAGE, ,2023, ,8887cd63fa4dab6,6412, ,Consumer,SMART CRUISE CONTROL & LANE FOLLOWING ASSIST, , ,"DUE TO MULTIPLE COMPONENTS, NO VERSION CAN BE PROVIDED", , ,"DUE TO MULTIPLE COMPONENTS, NO VERSION CAN BE PROVIDED", , ,,Y, ,,,Y, ,No,,Yes,ADAS,, , , , , , , ,Y,Customer Compliment Case,APR-2024, ,MAY-2024,02:50, ,31362e0be491cc1,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,ST. CLAIR TOWNSHIP, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,Unknown,55, ,Dark - Not Lighted,Y, , , , , , , ,,Passenger Car,Moderate,Unknown,Crossing into Opposing Lane,Yes,Yes, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Yes,55, , , ,Y, , ,Y, , , , , , ,Y, , , ,Y, , ,Unknown,ST. CLAIR COUNTY SHERIFF'S OFFICE, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"**1-Day Incident Report 5/25/2024**
Customer contacted Kia Customer Care (KCC) to report an incident involving his 2023MY Kia Sportage. Specifically, the customer called to thank Kia ""for saving [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] life."" Customer explained he was in a head-on collision when a drunk driver suddenly veered into his lane.  Customer reported he suffered ""cuts, bumps & bruises"" and stated he ""believes that [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] lack of injuries is due to the plethora of safety features my Sportage had.""  KCC subsequently contacted the customer to obtain additional details regarding the incident.  Customer stated that he was driving on a two-lane highway around 3AM, with cruise control engaged, when the car he was following veered into a ditch and a drunk driver veered into his lane. Customer did not see the drunk driver until the last second and as a result did not have time react.  When asked by KCC, the customer responded that Highway Driving Assist (HDA) was not engaged, but that his Smart Cruise Control and Lane Following Assist were engaged at the time of the incident.  The customer reported that the Sportage's airbags deployed, both the customer and driver of the other vehicle (unclear if the drunk driver or the driver of the vehicle that veered into the ditch) were transported to the hospital and that the Sportage was towed. Customer stated he was not asking anything from Kia and that he had called only to share his appreciation. 
This incident is being reported as precautionary measure since the incident meets the requirements under the SGO.  However, based on the description of the incident provided by the customer, the incident was not caused by a failure and/or disengagement of smart cruise control and/or LFA.
**10-Day Update 6/3/2024**
No additional information to be provided as the 1-Day was reported as a precautionary measure and submitting this 10-Day Update per the reporting requirements under the SGO.",
753-7780,1,"Kia America, Inc.",1-Day,,,MAY-2024,5XYK4CAF2PG, ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],KIA,SPORTAGE, ,2023, ,8887cd63fa4dab6,6412, ,Consumer,SMART CRUISE CONTROL & LANE FOLLOWING ASSIST, , ,"DUE TO MULTIPLE COMPONENTS, NO VERSION CAN BE PROVIDED", , ,"DUE TO MULTIPLE COMPONENTS, NO VERSION CAN BE PROVIDED", , ,,Y, ,,,Y, ,No,,Yes,ADAS,, , , , , , , ,Y,Customer Compliment Case,APR-2024, ,MAY-2024,02:50, ,31362e0be491cc1,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,ST. CLAIR TOWNSHIP, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,Unknown,55, ,Dark - Not Lighted,Y, , , , , , , ,,Passenger Car,Moderate,Unknown,Crossing into Opposing Lane,Yes,Yes, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Yes,55, , , ,Y, , ,Y, , , , , , ,Y, , , ,Y, , ,Unknown,ST. CLAIR COUNTY SHERIFF'S OFFICE, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,"Unknown, see Narrative", ,"Customer contacted Kia Customer Care (KCC) to report an incident involving his 2023MY Kia Sportage. Specifically, the called to thank Kia for saving [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] life. Customer explained he was in a head-on collision when a drunk driver suddenly veered into his lane.  Customer reported he suffered cuts, bumps & bruises and stated he believes that [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] lack of injuries is due to the plethora of safety features my Sportage had.   KCC subsequently contacted the customer to obtain additional details regarding the incident.  Customer stated that he was driving on a two-lane highway around 3AM, with cruise control engaged, when the car he was following veered into a ditch and a drunk driver veered into his lane. Customer did not see the drunk driver until the last second and as a result did not have time react.  When asked by KCC, the customer responded that Highway Driving Assist (HDA) was not engaged, but that his Smart Cruise Control and Lane Following Assist were engaged at the time of the incident.  The customer reported that the Sportages airbags deployed, both the customer and driver of the other vehicle (unclear if the drunk driver or the driver of the vehicle that veered into the ditch) were transported to the hospital and that the Sportage was towed. Customer stated he was not asking anything from Kia and that he had called only to share his appreciation. 
This incident is being reported as precautionary measure since the incident meets the requirements under the SGO.  However, based on the description of the incident provided by the customer, the incident was not caused by a failure and/or disengagement of smart cruise control and/or LFA.",
30413-7307,1,May Mobility,Monthly,2,2024,MAR-2024,5TDYRKEC8NS, ,N/A,Toyota,Sienna, ,2022, ,4bf81c68fc33bdb,1255, ,In-Vehicle (Commercial / Test),3, , ,3, , ,3, , ,, ,Y,,, ,Y,No,,Yes,ADS,May Mobility, , , , ,Y,Y, , ,,FEB-2024, ,FEB-2024,11:40, ,736ce3700f7c463,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Snow / Slush / Ice,No Unusual Conditions,35, ,Daylight, ,Y, , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , , , , ,Y,Proceeding Straight,No,No,Yes,29, , , , ,Y, , , , , , , , , , , ,Y, , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"The May vehicle was in autonomous mode on experimental test software (not deployed to the Commercial fleet), in light snow conditions.  A vehicle behind the AV was traveling approximately the same speed as the May shuttle. The May AV began to slow for an object ahead. Due to weather conditions, the AV misclassified a speed limit sign as a pedestrian, which intersected with the predicted trajectory of the AV. This caused the May AV to apply additional braking to avoid the projected collision with the misclassified object. The following vehicle did not react promptly when the May AV started to slow down, resulting in the following vehicle braking too late to avoid collision and impacting the May AV from behind.  The following vehicle then pulled around the May vehicle and drove away.  Resimulation of this event with an upcoming software version shows that the May AV would not misidentify the non-exist object so would not have decelerated unnecessarily. This improved software is set to be deployed to the full commercial fleet soon. In addition, per May policy, the commercial fleet would not operate in weather conditions like those present in this incident.",
30413-5396,1,May Mobility,Monthly,4,2023,APR-2023,2T2JGMDA0LC, ,N/A,Lexus,RX450h, ,2020, ,cb6e38b363be262,28420, ,In-Vehicle (Commercial / Test),4, , ,, , ,, , ,, , ,,, , ,,,Yes,ADS,May Mobility, , , , ,Y, , , ,,APR-2023, ,APR-2023,16:16, ,1d245f18d9df615,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,No,Proceeding Straight,No,Yes, , ,Y, , ,Y, , ,Y, , ,"Other, see Narrative",No,No,Yes,18, ,Y, , ,Y, , ,Y, , , , , ,Y, , , , , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On Friday April [XXX] at 16:16 local time, the May shuttle was driving Westbound on [XXX] in Ann Arbor, MI in autonomous mode and was followed by another vehicle. The following vehicle was traveling approximately twice as fast as the May shuttle and catching up to the May shuttle from behind. The May shuttle began to slow for traffic ahead, which was stopping for a red light, but the following vehicle did not decelerate. While slowing, the May shuttle identified a bollard on the side of the road as a likely pedestrian and added a safety buffer which intersected with the predicted trajectory of the shuttle. This caused the shuttle to increase deceleration to avoid the projected collision with the buffer. The following vehicle started braking late and impacted the May shuttle from behind with a relative velocity of 6.2 m/s. Re-simulation of this event with a future software version shows that the May shuttle would have decelerated less abruptly.",
1306-4389,2,Toyota Motor Engineering & Manufacturing,10-Day Update,,,DEC-2022,2T2JGMDA0LC, ,N/A,Lexus,RX450H, ,2020, ,cb6e38b363be262,25702, ,In-Vehicle (Commercial / Test),4, , ,, , ,, , ,, , ,,, , ,,,Yes,"Unknown, see Narrative",May Mobility, , , , ,Y, , , ,,NOV-2022, ,DEC-2022,15:43, ,03ad388e6676c05,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,No,NM Moving on Sidewalk,,, , , , , , , , , , , ,Entering Traffic,No,No,Yes,4, , , ,Y, , ,Y, , , , , , ,Y, , , , , , ,No,, ,No,, ,, ,, ,"No, see Narrative", ,"This report is being submitted because May Mobility notified Toyota on Dec. 9, 2022 of 1-Day Report submission 30413-4170-1,related
to an incident that occurred on Nov. [XXX], 2022. Toyota has no additional information on this incident beyond what was submitted in the
aforementioned 1-Day Report. Please refer to the report from May Mobility for details.
This report is a 10 Day update. The original report ID is 1306-4389-1.",
1306-4389,1,Toyota Motor Engineering & Manufacturing,1-Day,,,DEC-2022,2T2JGMDA0LC, ,N/A,Lexus,RX450H, ,2020, ,cb6e38b363be262,25702, ,In-Vehicle (Commercial / Test),4, , ,, , ,, , ,, , ,,, , ,,,Yes,"Unknown, see Narrative",May Mobility, , , , ,Y, , , ,,NOV-2022, ,DEC-2022,15:43, ,03ad388e6676c05,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,No,NM Moving on Sidewalk,,, , , , , , , , , , , ,Entering Traffic,No,No,Yes,4, , , ,Y, , ,Y, , , , , , ,Y, , , , , , ,No,, ,No,, ,, ,, ,"No, see Narrative", ,"This report is being submitted because May Mobility notified Toyota on Dec. 9, 2022 of 1-Day Report submission 30413-4170-1,related
to an incident that occurred on Nov. [XXX], 2022. Toyota has no additional information on this incident beyond what was submitted in the
aforementioned 1-Day Report. Please refer to the report from May Mobility for details.",
30413-4352,1,May Mobility,1-Day,,,DEC-2022,2T2JGMDA2LC, ,N/A,Lexus,RX450h, ,2020, ,1c26f99cf0c3b77,24692, ,In-Vehicle (Commercial / Test),4, , ,, , ,, , ,, , ,,, , ,,,Yes,ADS,May Mobility, , , , ,Y, , , ,,DEC-2022, ,DEC-2022,18:38, ,f7cf904127f755d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ann Arbor, ,MI ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,Traffic Incident,0, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,No,Proceeding Straight,No,No, , , , , ,Y, , ,Y, , ,Stopped,No,No,Yes,0, ,Y, , ,Y, , , , , , , , ,Y, , , , , , ,No,, ,Yes,, ,, ,, ,Yes, ,"Operator turned onto [XXX] headed westbound approaching the stop sign at the intersection with [XXX]. In autonomy, the subject vehicle came to a stop. An SUV behind the subject vehicle then rear-ended the subject vehicle. No injuries were reported by the operator or the driver of the other vehicle and there was no damage to the SUV and a small crack in the bumper for the subject vehicle.",
