Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30610-10516,1,"Zoox, Inc.",Monthly,3,2025,APR-2025,5TDDGRFH1HS, ,N/A,Toyota,Highlander, ,2017, ,18e0636c317f80e,86339, ,In-Vehicle (Commercial / Test),203.25.03.28, , ,203.25.03.28, , ,203.25.03.28, , ,, ,Y,,, ,Y,Yes (specify below),NV DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAR-2025, ,MAR-2025,21:31, ,82ab32ab92788c5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Changing Lanes,No,No, , ,Y, , , , , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,Yes,Las Vegas Metro Police Department, ,No,,Y,,Y,,Y,Yes, ,"A Zoox vehicle (Vehicle 1), operating in autonomous mode, was stopped behind traffic in the right through-lane for a red traffic light on southbound [XXX] at [XXX] in Las Vegas. A passenger car (Vehicle 2) was also stopped for the same traffic light, directly behind the Zoox vehicle. After a few seconds, the Vehicle 2 driver, attempting to change lanes to the right, tapped the rear bumper of the Zoox vehicle with their front bumper. The Zoox operator then disengaged from autonomy. The Vehicle 2 driver then reversed and reattempted their lane change maneuver and tapped the stationary Zoox vehicle another time before merging into the right-turn-only lane. The Vehicle 2 driver did not stop to exchange information. The Zoox vehicle sustained minor damage to the rear bumper. There were no reported injuries. The police were notified by the Zoox vehicle operator but were not dispatched to the scene.",
30610-10511,1,"Zoox, Inc.",Monthly,3,2025,APR-2025,5TDDGRFH5KS, ,N/A,Toyota,Highlander, ,2019, ,11cf7f140115c4a,61172, ,In-Vehicle (Commercial / Test),346.25.03.16, , ,346.25.03.16, , ,346.25.03.16, , ,, ,Y,,, ,Y,Yes (specify below),NV DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAR-2025, ,MAR-2025,12:22, ,a930be0f965eab9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Making Right Turn,No,No, , , , , , , , ,Y, , ,Making Right Turn,No,No,Yes,1, ,Y, , , , , , , , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A Zoox vehicle (Vehicle 1) operating in autonomous mode was stopped in the right turn lane on eastbound [XXX], attempting a right turn at a traffic light onto [XXX] in Las Vegas. The Zoox vehicle began to move forward and then slowed gradually to yield to cross traffic with right of way when it was rear ended by a passenger car (Vehicle 2) behind. The Zoox vehicle operator then disengaged and pulled over. Both vehicles sustained minor damage. There were no reported injuries and the police were not called.",
30610-10508,1,"Zoox, Inc.",Monthly,3,2025,APR-2025,5TDDGRFH2HS, ,N/A,Toyota,Highlander, ,2017, ,be60d93b8e54402,114644, ,In-Vehicle (Commercial / Test),180.25.03.07, , ,180.25.03.07, , ,180.25.03.07, , ,, ,Y,,, ,Y,Yes (specify below),NV DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAR-2025, ,MAR-2025,16:20, ,ec72f29fe65a97f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",No,No, , , , , , ,Y, , , , ,Stopped,No,No,Yes,0, ,Y, , ,Y, , , , , , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A Zoox vehicle (Vehicle 1), operating in autonomous mode, was stopped behind traffic in the left turn lane (lane #2) on southbound [XXX] at the intersection with [XXX] in Las Vegas when a forklift operator hauling a dumpster, crossed [XXX] behind the stopped Zoox vehicle and tapped the rear end of the Zoox vehicle with the dumpster. The Zoox vehicle operator then disengaged from autonomy. The forklift operator did not stop and left the scene without exchanging information. The Zoox vehicle sustained minor damage. There were no reported injuries and the police were not called.",
30610-10473,1,"Zoox, Inc.",5-Day,,,APR-2025,7Z00XVHX2RK, ,N/A,Zoox,sedan, ,2024, ,5c7e51304f13f60,16018, ,None,B412.25.04.08, , ,B412.25.04.08, , ,B412.25.04.08, , ,, ,Y,,, ,Y,Yes (specify below),NV DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,APR-2025, ,APR-2025,16:24, ,f0252c0264b68ef,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Stopped,No,No, , ,Y, , , , , , , , ,Lane / Road Departure,No,Yes,No Passengers in Vehicle,11, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,Yes,Las Vegas Metropolitan Police Department, ,Yes,,Y,,Y,,Y,Yes, ,"An unoccupied Zoox vehicle (Vehicle 1) was traveling in the right lane of eastbound [XXX] near [XXX] in Las Vegas when a passenger car (Vehicle 2) initiated an apparent attempt to make a left turn to cross the eastbound lanes in front of the Zoox vehicle to head west on [XXX]. Anticipating that vehicle 2 would continue onto westbound [XXX], the Zoox vehicle slowed and steered to the right. Instead, Vehicle 2 came to an abrupt stop fully yielding to the Zoox vehicle, and remained in the shoulder lane. The Zoox vehicle braked hard but contact was unavoidable. The front bumper and wheel of the Zoox vehicle made contact with the front bumper, fender, and headlight on the left side of Vehicle 2. The Zoox vehicle then came to a complete stop. The driver of Vehicle 2 reversed off of the roadway and stayed on-site to exchange information with the Zoox operations team. The Zoox vehicle was towed from the scene for inspection. It sustained minor damage to the fender and suspension. There were no reported injuries. The police were notified by the Zoox remote operations team but were not dispatched to the scene.",
30610-10294,1,"Zoox, Inc.",5-Day,,,MAR-2025,5TDDGRFH4HS, ,N/A,Toyota,Highlander, ,2017, ,2170c7f992d6d81,121658, ,In-Vehicle (Commercial / Test),166.25.03.19, , ,166.25.03.19, , ,166.25.03.19, , ,, ,Y,,, ,Y,Yes (specify below),NV DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,MAR-2025, ,MAR-2025,8:44, ,05fabfc423de978,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,Work Zone,35, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Making Left Turn,No,Yes,Yes,6, , , ,Y, , ,Y, , ,Y, , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"A Zoox vehicle (Vehicle 1) in autonomous mode was stopped in the left turn lane on westbound [XXX], yielding to cross traffic as it attempted to make an unprotected left onto [XXX] in Las Vegas. An SUV (Vehicle 2) approaching on [XXX] from the left of the Zoox vehicle was slowing with its right turn signal on. Based on hand gestures from a stopped bus waiting to turn in front of the Zoox vehicle, the Zoox vehicle operator then disengaged from autonomy and proceeded towards making a left turn. Just as the Zoox vehicle started to enter the intersection, Vehicle 2 driver continued straight on [XXX]. The Zoox vehicle operator braked just before the front of the Zoox vehicle made contact with the passenger side fender, front door, and rear door of Vehicle 2. Both vehicles sustained moderate damage and the Zoox vehicle was towed from the scene. There were no reported injuries and police were not called.",
669-10259,1,Hyundai Motor America,Monthly,2,2025,MAR-2025,PFDKB4AE4RF, ,N/A,Hyundai,IONIQ 5, ,2024, ,2d388d4948c1138,,Y,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Hyundai Motor America, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,15:38, ,4ce5e32b26da9ff,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Unknown,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,"Other, see Narrative",No,No, , , , , ,Y, , , , , ,"Other, see Narrative",No,No,Yes,0, , , , ,Y, , , , , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"In cooperation with Motional, the following is their summary of the incident:
On February [XXX], 2025, at 3:38 PM PT, a Motional AV with VIN PFDKB4AE4RF[XXX] was operating in autonomous mode in Las Vegas, Nevada. A safety driver was in the driver's seat, and two Motional employees were in the backseat.
The AV was traveling [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to make a right turn onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. While in the right-turn lane, the AV came to a complete stop at a yield sign and a Mazda vehicle rear-ended the AV at approximately 5-10 MPH. Following the impact, the safety driver assumed control of the vehicle and pulled safety over to exchange information.
No injuries were reported by any of the vehicle occupants, and no airbags deployed. The AV sustained damage to the trunk. All vehicles remained drivable and left the scene
under their own power without needing a tow truck. Law enforcement was not contacted at the time of the incident however, if a police report becomes available, a copy will be
provided.",Y
669-10257,1,Hyundai Motor America,Monthly,2,2025,MAR-2025,PFDKB4AE3RF, ,N/A,Hyundai,IONIQ 5, ,2024, ,48d0706c1e92595,5831, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Motional, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,21:50, ,b42deb39142d807,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Making Left Turn,No,No, , ,Y, , ,Y, , ,Y, , ,Making Left Turn,No,No,Yes,2, ,Y, , ,Y, , ,Y, , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"In collaboration with Motional, below is a summary based on their statement:
On February [XXX], 2025, at approximately 9:50 PM PT, a Motional AV with VIN PFDKB4AE3RF[XXX] was operating in autonomous mode in Las Vegas, Nevada. The vehicle was stopped in a left-turn lane on [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to turn left onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. A safety driver was in the driver's seat, and an engineer was in the front passenger seat.
When the light turned from red to a left green arrow, the AV began making a left turn onto [XXX] when a vehicle, two cars behind the AV, rear-ended the cargo van
immediately behind the AV, causing the cargo van to rear-end the AV at approximately 2-5 MPH. Following the impact, the safety driver assumed control of the AV and pulled over safely to the side of Russell Road.
No injuries were reported in any of the vehicles, and no airbags deployed. The AV sustained damage to its rear bumper. Both vehicles remained drivable and departed the scene under their own power. Law enforcement was not contacted at the time of the incident if a police report becomes available, a copy will be provided.",
669-10258,1,Hyundai Motor America,Monthly,2,2025,MAR-2025,PFDKB4AE1RF, ,N/A,Hyundai,IONIQ 5, ,2024, ,ea1383b24e0401b,4947, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Motional, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,14:44, ,2fa56e3fae57fff,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,"Other, see Narrative",No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , , , , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"In collaboration with Motional, below is a summary based on their statement:
On February [XXX], 2025, at 2:44 PM PT, a Motional AV with VIN PFDKB4AE1RF[XXX] was operating in autonomous mode in Las Vegas, Nevada. A safety driver was in the driver's seat, and a test engineer was in the front passenger seat.
The AV was traveling [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to make a right turn onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. While in the right-turn lane, the AV came to a complete stop at a yield sign and a truck rear-ended the AV at approximately 5-10 MPH. Following the impact, the safety driver assumed control of the vehicle and, after a brief conversation with the truck driver, pulled into a nearby gas station to exchange information.
No injuries were reported by any of the vehicle occupants, and no airbags deployed. The AV sustained damage to the trunk and rear camera. All vehicles remained drivable and left the scene under their own power without needing a tow truck. Law enforcement was not contacted at the time of the incident however, if a police report becomes available, a copy will be provided.",
669-10260,1,Hyundai Motor America,Monthly,2,2025,MAR-2025,PFDKB4AE1RF, ,N/A,Hyundai,IONIQ 5, ,2024, ,cbf168dd2910c18,12524, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Motional, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,15:00, ,276c44175c4e6fa,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,15, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,"Other, see Narrative",No,No, , , , , ,Y, , , , , ,"Other, see Narrative",No,No,Yes,2, , , , ,Y, , , , , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"In collaboration with Motional, below is a summary based on their statement:
On February [XXX], 2025, at 3:00 PM PT, a Motional AV with VIN PFDKB4AE1RF[XXX] was operating in autonomous mode in Las Vegas, Nevada. A safety driver was in the driver's seat, a test engineer was in the passenger seat, and one Motional employee was in the backseat.
The AV was traveling [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to make a right turn onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION].
While in the right-turn lane, the AV was slowing to stop at a yield sign for cross traffic, and a Cadilac SUV rear-ended the AV at approximately 1-5 MPH. Following the impact, the safety driver assumed control of the vehicle and pulled safety over to exchange information.
No injuries were reported by any of the vehicle occupants, and no airbags deployed. The AV sustained damage to the trunk. All vehicles remained drivable and left the scene
under their own power without needing a tow truck. Law enforcement was not contacted at the time of the incident however, if a police report becomes available, a copy will be
provided",
30410-9804,1,Motional,Monthly,2,2025,MAR-2025,PFDKB4AE3RF, ,n/a,Hyundai,Ioniq 5, ,2024, ,48d0706c1e92595,5831, ,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,Hyundai Motor America, , ,,, ,Y,Yes (specify below),Nevada,Yes,ADS,Motional, , , , ,Y, , , ,,FEB-2025, ,FEB-2025,21:50, ,b42deb39142d807,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Las Vegas, ,NV ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35, ,Dark - Lighted,Y, , , , , , , ,,Van,No Injuries Reported,Yes,Making Left Turn,No,No, , ,Y, , ,Y, , ,Y, , ,Making Left Turn,No,No,Yes,2, ,Y, , ,Y, , ,Y, , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025, at approximately 9:50 PM PT, a Motional AV with VIN PFDKB4AE3RF000093 was operating in autonomous mode in Las Vegas, Nevada. The vehicle was stopped in a left-turn lane on [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION], preparing to turn left onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. A safety driver was in the driver's seat, and an engineer was in the front passenger seat.
When the light turned from red to a left green arrow, the AV began making a left turn onto [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION] when a vehicle, two cars behind the AV, rear-ended the cargo van immediately behind the AV, causing the cargo van to rear-end the AV at approximately 2-5 MPH. Following the impact, the safety driver assumed control of the AV and pulled over safely to the side of Russell Road.
No injuries were reported in any of the vehicles, and no airbags deployed. The AV sustained damage to its rear bumper. Both vehicles remained drivable and departed the scene under their own power. Law enforcement was not contacted at the time of the incident if a police report becomes available, a copy will be provided.",Y
